sequence,accelx,accely,accelz,event
0,0.68,-0.06,0.74,0
1,0.2,0.0,0.98,0
2,0.2,0.0,0.98,0
3,0.2,0.0,0.97,0
4,0.2,0.0,0.97,0
5,0.2,0.0,0.98,0
6,0.21,0.0,0.98,0
7,0.2,0.0,0.98,0
8,0.2,-0.01,0.98,0
9,0.2,0.0,0.98,0
10,0.21,-0.01,0.98,0
11,0.2,0.0,0.98,0
12,0.2,0.0,0.98,0
13,0.2,0.0,0.98,0
14,0.2,0.0,0.98,0
15,0.21,-0.01,0.98,0
16,0.2,-0.01,0.98,0
17,0.2,0.0,0.98,0
18,0.2,0.0,0.98,0
19,0.2,0.0,0.98,0
20,0.2,0.0,0.98,0
21,0.2,-0.01,0.98,0
22,0.2,0.0,0.98,0
23,0.2,0.0,0.98,0
24,0.2,-0.01,0.98,0
25,0.19,0.0,0.98,0
26,0.2,0.0,0.98,0
27,0.2,0.0,0.98,0
28,0.2,0.0,0.98,0
29,0.2,0.0,0.98,0
30,0.2,0.0,0.98,0
31,0.19,0.0,0.98,0
32,0.19,0.0,0.98,0
33,0.2,0.0,0.99,0
34,0.2,0.0,0.98,0
35,0.2,0.0,0.98,0
36,0.2,0.0,0.97,0
37,0.2,0.0,0.98,0
38,0.2,0.0,0.98,0
39,0.19,0.0,0.98,0
40,0.2,0.0,0.98,0
41,0.2,0.0,0.98,0
42,0.2,0.0,0.98,0
43,0.18,0.0,0.98,0
44,0.2,0.0,0.98,0
45,0.18,0.01,0.98,0
46,0.18,0.01,0.98,0
47,0.19,0.01,0.98,0
48,0.16,0.01,0.98,0
49,0.18,-0.01,0.98,0
50,0.12,0.01,0.98,0
51,0.14,0.01,0.97,0
52,0.17,0.01,0.99,0
53,0.2,-0.01,0.99,0
54,0.16,0.01,0.98,0
55,0.12,0.0,0.98,0
56,0.1,0.02,0.98,0
57,0.16,0.02,1.01,0
58,0.1,0.01,0.99,0
59,0.14,-0.03,0.98,0
60,0.09,0.03,1.0,0
61,0.0,0.04,1.0,0
62,0.05,0.04,1.02,0
63,0.04,0.01,1.03,0
64,0.11,0.0,1.0,0
65,0.18,0.01,1.0,0
66,0.11,0.01,0.96,0
67,0.17,0.02,0.97,0
68,0.19,0.02,0.97,0
69,0.21,0.01,0.97,0
70,0.21,0.01,0.98,0
71,0.19,0.01,0.98,0
72,0.19,0.0,0.98,0
73,0.19,0.01,0.99,0
74,0.19,0.01,0.98,0
75,0.21,0.0,0.99,2
76,0.2,0.01,0.98,2
77,0.21,0.01,0.98,2
78,0.21,0.01,0.97,2
79,0.2,0.01,0.97,2
80,0.2,0.0,0.97,2
81,0.2,0.01,0.98,2
82,0.2,0.01,0.98,2
83,0.21,0.01,0.99,2
84,0.2,0.01,0.98,2
85,0.2,0.01,0.98,2
86,0.2,0.01,0.98,2
87,0.21,0.01,0.98,2
88,0.19,0.01,0.97,2
89,0.21,0.01,0.98,2
90,0.2,0.01,0.98,2
91,0.19,0.03,0.98,2
92,0.18,0.04,0.98,2
93,0.23,0.06,1.01,2
94,0.17,0.17,0.93,2
95,0.19,0.25,0.89,2
96,0.29,0.28,0.81,2
97,0.28,0.31,0.92,2
98,0.33,0.28,0.97,2
99,0.27,0.29,1.03,2
100,0.3,0.25,1.19,2
101,0.32,0.21,1.36,2
102,0.3,0.12,1.5,2
103,0.39,0.03,1.54,2
104,0.68,-0.11,1.56,2
105,0.51,-0.23,1.49,2
106,0.49,-0.24,1.31,2
107,0.63,-0.29,1.12,2
108,0.56,-0.27,0.79,2
109,0.63,-0.38,0.59,2
110,0.46,-0.39,0.45,2
111,0.29,-0.35,0.43,2
112,0.19,-0.28,0.37,2
113,0.06,-0.19,0.38,2
114,-0.11,-0.12,0.42,2
115,-0.26,-0.01,0.48,2
116,-0.29,-0.03,0.62,2
117,-0.36,-0.04,0.74,2
118,-0.29,0.0,0.88,2
119,-0.27,-0.02,0.91,2
120,-0.13,-0.05,0.95,2
121,-0.16,0.02,1.09,2
122,-0.03,-0.03,1.18,2
123,-0.01,-0.05,1.28,2
124,-0.02,-0.05,1.28,2
125,0.22,-0.06,1.3,2
126,0.1,-0.08,1.26,2
127,0.26,-0.06,1.22,2
128,0.22,-0.09,1.14,2
129,0.3,-0.12,1.08,2
130,0.27,-0.08,1.04,2
131,0.24,-0.08,1.0,2
132,0.21,-0.04,0.97,2
133,0.21,-0.01,0.97,2
134,0.22,0.02,0.98,2
135,0.23,0.01,1.01,2
136,0.26,0.0,0.99,2
137,0.21,0.01,0.98,2
138,0.26,0.02,0.98,2
139,0.24,0.03,0.97,2
140,0.24,0.04,0.98,2
141,0.29,0.02,0.97,2
142,0.26,0.01,0.97,2
143,0.26,0.03,0.97,2
144,0.22,0.01,0.95,2
145,0.26,0.03,0.99,2
146,0.26,0.03,0.96,2
147,0.15,0.05,0.97,2
148,0.22,0.03,0.98,2
149,0.24,0.05,1.03,2
150,0.23,0.03,1.05,2
151,0.16,0.07,1.01,2
152,0.26,-0.03,0.94,2
153,0.18,0.09,0.9,2
154,0.29,0.02,0.92,2
155,0.15,0.07,0.96,2
156,0.24,0.07,1.05,2
157,0.15,0.09,1.05,2
158,0.2,-0.01,1.01,2
159,0.32,0.04,0.96,2
160,0.26,0.0,0.96,2
161,0.26,0.0,0.96,2
162,0.24,0.01,0.96,2
163,0.29,0.0,0.95,2
164,0.28,0.0,0.94,2
165,0.31,-0.01,0.97,2
166,0.28,-0.01,0.96,2
167,0.27,-0.01,0.96,2
168,0.26,0.0,0.96,2
169,0.27,-0.01,0.97,2
170,0.28,-0.02,0.98,2
171,0.28,-0.01,0.98,2
172,0.26,-0.02,0.98,2
173,0.28,-0.03,0.95,2
174,0.28,-0.04,0.96,2
175,0.27,-0.05,0.96,0
176,0.29,-0.05,0.97,0
177,0.26,-0.03,0.97,0
178,0.28,-0.05,0.97,0
179,0.28,-0.06,0.97,0
180,0.29,-0.06,0.97,0
181,0.29,-0.06,0.97,0
182,0.3,-0.06,0.97,0
183,0.32,-0.05,0.97,0
184,0.32,-0.06,0.96,0
185,0.33,-0.06,0.96,0
186,0.32,-0.06,0.95,0
187,0.33,-0.07,0.95,0
188,0.34,-0.08,0.95,0
189,0.35,-0.08,0.95,0
190,0.35,-0.07,0.95,0
191,0.36,-0.07,0.95,0
192,0.36,-0.08,0.95,0
193,0.36,-0.07,0.95,0
194,0.36,-0.06,0.95,0
195,0.38,-0.07,0.94,0
196,0.37,-0.07,0.94,0
197,0.38,-0.06,0.94,0
198,0.39,-0.07,0.94,0
199,0.4,-0.07,0.94,0
200,0.38,-0.06,0.94,0
201,0.4,-0.07,0.93,0
202,0.39,-0.07,0.94,0
203,0.4,-0.08,0.95,0
204,0.39,-0.08,0.94,0
205,0.37,-0.1,0.93,0
206,0.39,-0.09,0.93,0
207,0.41,-0.08,0.94,0
208,0.39,-0.07,0.95,0
209,0.37,-0.08,0.93,0
210,0.37,-0.1,0.92,0
211,0.39,-0.1,0.94,0
212,0.4,-0.07,0.95,0
213,0.39,-0.06,0.95,0
214,0.36,-0.06,0.93,0
215,0.36,-0.07,0.92,0
216,0.37,-0.07,0.95,0
217,0.39,-0.07,0.96,0
218,0.38,-0.06,0.95,0
219,0.36,-0.06,0.93,0
220,0.35,-0.08,0.91,0
221,0.37,-0.1,0.92,0
222,0.4,-0.07,0.95,0
223,0.4,-0.06,0.96,0
224,0.36,-0.05,0.96,0
225,0.36,-0.06,0.94,0
226,0.36,-0.08,0.93,0
227,0.36,-0.08,0.94,0
228,0.39,-0.08,0.96,0
229,0.37,-0.07,0.95,0
230,0.37,-0.08,0.93,0
231,0.36,-0.09,0.91,0
232,0.36,-0.12,0.91,0
233,0.38,-0.13,0.93,0
234,0.41,-0.13,0.94,0
235,0.42,-0.12,0.95,0
236,0.41,-0.1,0.95,0
237,0.36,-0.08,0.94,0
238,0.36,-0.09,0.93,0
239,0.36,-0.1,0.93,0
240,0.41,-0.1,0.96,0
241,0.4,-0.08,0.96,0
242,0.37,-0.09,0.94,0
243,0.35,-0.12,0.89,0
244,0.35,-0.13,0.9,0
245,0.37,-0.12,0.95,0
246,0.41,-0.13,0.97,0
247,0.39,-0.11,0.95,0
248,0.36,-0.09,0.92,0
249,0.36,-0.09,0.91,0
250,0.36,-0.06,0.93,0
251,0.41,-0.07,0.96,0
252,0.39,-0.07,0.96,0
253,0.36,-0.07,0.94,0
254,0.36,-0.09,0.93,0
255,0.35,-0.1,0.91,0
256,0.37,-0.12,0.94,0
257,0.4,-0.13,0.96,0
258,0.38,-0.12,0.95,0
259,0.38,-0.12,0.92,0
260,0.37,-0.11,0.91,0
261,0.39,-0.1,0.93,0
262,0.39,-0.08,0.94,0
263,0.39,-0.06,0.95,0
264,0.36,-0.05,0.93,0
265,0.37,-0.07,0.92,0
266,0.38,-0.08,0.94,0
267,0.39,-0.08,0.95,0
268,0.39,-0.09,0.95,0
269,0.38,-0.09,0.94,0
270,0.37,-0.09,0.92,0
271,0.37,-0.1,0.93,0
272,0.38,-0.09,0.94,0
273,0.39,-0.08,0.94,0
274,0.38,-0.07,0.94,0
275,0.38,-0.07,0.94,0
276,0.37,-0.07,0.94,0
277,0.36,-0.06,0.94,0
278,0.37,-0.07,0.94,0
279,0.38,-0.07,0.95,0
280,0.37,-0.07,0.94,0
281,0.38,-0.08,0.93,0
282,0.37,-0.08,0.92,0
283,0.36,-0.07,0.93,0
284,0.36,-0.06,0.93,0
285,0.4,-0.06,0.94,0
286,0.32,-0.06,0.93,0
287,0.38,-0.08,0.97,0
288,0.3,-0.06,0.94,0
289,0.34,-0.07,0.94,0
290,0.35,-0.06,0.92,0
291,0.35,-0.07,0.97,0
292,0.36,-0.06,0.97,0
293,0.35,-0.08,0.97,0
294,0.37,-0.05,0.97,0
295,0.41,-0.07,0.96,0
296,0.34,-0.07,0.93,0
297,0.44,-0.05,0.92,0
298,0.37,-0.06,0.92,0
299,0.39,-0.06,0.91,0
300,0.41,-0.04,0.9,0
301,0.38,-0.06,0.92,0
302,0.38,-0.05,0.92,0
303,0.4,-0.07,0.94,0
304,0.37,-0.06,0.94,0
305,0.39,-0.06,0.94,0
306,0.39,-0.07,0.94,0
307,0.37,-0.06,0.94,0
308,0.39,-0.06,0.94,0
309,0.38,-0.06,0.94,0
310,0.38,-0.06,0.94,0
311,0.38,-0.06,0.93,0
312,0.4,-0.06,0.93,0
313,0.38,-0.06,0.93,0
314,0.39,-0.06,0.93,0
315,0.39,-0.06,0.94,0
316,0.39,-0.06,0.94,0
317,0.38,-0.07,0.94,0
318,0.39,-0.07,0.93,0
319,0.39,-0.06,0.94,0
320,0.38,-0.07,0.94,0
321,0.38,-0.07,0.94,0
322,0.38,-0.06,0.94,0
323,0.39,-0.06,0.94,0
324,0.39,-0.06,0.93,0
325,0.39,-0.06,0.93,2
326,0.39,-0.06,0.93,2
327,0.39,-0.06,0.94,2
328,0.38,-0.06,0.94,2
329,0.38,-0.06,0.94,2
330,0.38,-0.06,0.94,2
331,0.39,-0.06,0.94,2
332,0.38,-0.06,0.93,2
333,0.39,-0.06,0.94,2
334,0.38,-0.07,0.94,2
335,0.39,-0.06,0.93,2
336,0.38,-0.06,0.94,2
337,0.39,-0.06,0.93,2
338,0.38,-0.06,0.93,2
339,0.4,-0.06,0.94,2
340,0.38,-0.06,0.93,2
341,0.39,-0.06,0.92,2
342,0.43,-0.07,0.91,2
343,0.38,0.03,0.9,2
344,0.41,0.09,0.9,2
345,0.35,0.16,0.9,2
346,0.29,0.22,0.92,2
347,0.31,0.27,0.97,2
348,0.35,0.27,1.04,2
349,0.36,0.25,1.12,2
350,0.32,0.19,1.33,2
351,0.22,0.06,1.5,2
352,0.22,0.0,1.69,2
353,0.42,-0.09,1.76,2
354,0.49,-0.19,1.68,2
355,0.58,-0.24,1.41,2
356,0.83,-0.22,1.07,2
357,0.84,-0.2,0.74,2
358,0.89,-0.25,0.46,2
359,0.73,-0.19,0.3,2
360,0.39,-0.11,0.14,2
361,0.11,-0.01,0.14,2
362,-0.02,0.07,0.22,2
363,-0.24,0.07,0.38,2
364,-0.16,0.05,0.55,2
365,-0.25,0.07,0.73,2
366,-0.2,0.09,0.97,2
367,-0.15,0.11,1.06,2
368,-0.01,0.02,1.09,2
369,0.18,0.0,1.23,2
370,0.13,-0.01,1.28,2
371,0.33,0.0,1.41,2
372,0.23,-0.02,1.37,2
373,0.47,-0.06,1.37,2
374,0.4,-0.14,1.15,2
375,0.55,-0.18,1.11,2
376,0.53,-0.13,1.0,2
377,0.5,-0.12,0.96,2
378,0.53,-0.08,0.95,2
379,0.52,-0.04,0.91,2
380,0.51,-0.02,0.89,2
381,0.52,-0.05,0.85,2
382,0.51,-0.02,0.84,2
383,0.53,-0.02,0.85,2
384,0.5,0.0,0.86,2
385,0.52,0.01,0.87,2
386,0.48,0.05,0.87,2
387,0.5,0.05,0.86,2
388,0.5,0.03,0.87,2
389,0.52,0.01,0.87,2
390,0.52,0.01,0.87,2
391,0.52,0.01,0.87,2
392,0.5,0.03,0.87,2
393,0.53,0.03,0.86,2
394,0.55,0.0,0.85,2
395,0.48,0.02,0.83,2
396,0.46,-0.02,0.8,2
397,0.52,0.06,0.91,2
398,0.47,0.0,0.91,2
399,0.52,0.03,0.91,2
400,0.5,0.01,0.92,2
401,0.51,0.02,0.93,2
402,0.48,0.0,0.86,2
403,0.5,0.02,0.76,2
404,0.5,0.04,0.86,2
405,0.47,0.02,0.86,2
406,0.53,0.03,0.88,2
407,0.53,0.02,0.92,2
408,0.51,0.04,0.95,2
409,0.51,0.02,0.89,2
410,0.59,-0.01,0.84,2
411,0.39,0.07,0.79,2
412,0.59,-0.01,0.84,2
413,0.53,0.02,0.83,2
414,0.53,0.02,0.82,2
415,0.57,0.01,0.83,2
416,0.53,0.02,0.84,2
417,0.55,0.02,0.85,2
418,0.53,0.02,0.85,2
419,0.52,0.02,0.86,2
420,0.54,0.01,0.86,2
421,0.53,0.02,0.85,2
422,0.54,0.01,0.86,2
423,0.55,0.02,0.85,2
424,0.53,0.01,0.84,2
425,0.54,0.01,0.85,0
426,0.53,0.01,0.85,0
427,0.53,0.01,0.85,0
428,0.54,0.01,0.85,0
429,0.55,0.01,0.85,0
430,0.54,0.01,0.85,0
431,0.54,0.01,0.85,0
432,0.53,0.01,0.86,0
433,0.53,0.01,0.86,0
434,0.54,0.01,0.85,0
435,0.53,0.01,0.86,0
436,0.55,0.01,0.85,0
437,0.53,0.01,0.84,0
438,0.53,0.01,0.85,0
439,0.54,0.01,0.85,0
440,0.53,0.01,0.85,0
441,0.53,0.0,0.85,0
442,0.54,0.0,0.85,0
443,0.54,0.0,0.85,0
444,0.54,-0.01,0.85,0
445,0.54,-0.01,0.84,0
446,0.54,-0.02,0.82,0
447,0.55,-0.02,0.83,0
448,0.55,-0.01,0.82,0
449,0.56,-0.01,0.83,0
450,0.54,0.0,0.83,0
451,0.55,0.01,0.85,0
452,0.56,0.02,0.86,0
453,0.54,0.02,0.86,0
454,0.58,0.0,0.85,0
455,0.57,0.0,0.84,0
456,0.57,0.0,0.84,0
457,0.58,0.0,0.83,0
458,0.56,-0.01,0.83,0
459,0.57,-0.01,0.83,0
460,0.57,-0.01,0.83,0
461,0.57,-0.01,0.84,0
462,0.57,-0.01,0.83,0
463,0.57,-0.01,0.83,0
464,0.57,-0.01,0.83,0
465,0.56,-0.01,0.83,0
466,0.58,-0.02,0.83,0
467,0.57,-0.01,0.83,0
468,0.57,-0.02,0.84,0
469,0.58,-0.02,0.83,0
470,0.57,-0.02,0.83,0
471,0.57,-0.02,0.83,0
472,0.57,-0.03,0.82,0
473,0.57,-0.02,0.83,0
474,0.57,-0.02,0.82,0
475,0.57,-0.02,0.83,0
476,0.57,-0.02,0.83,0
477,0.58,-0.02,0.82,0
478,0.57,-0.02,0.83,0
479,0.58,-0.02,0.83,0
480,0.58,-0.02,0.82,0
481,0.58,-0.02,0.83,0
482,0.58,-0.02,0.83,0
483,0.58,-0.03,0.83,0
484,0.58,-0.02,0.83,0
485,0.58,-0.02,0.82,0
486,0.57,-0.02,0.83,0
487,0.58,-0.02,0.82,0
488,0.57,-0.02,0.82,0
489,0.58,-0.03,0.82,0
490,0.58,-0.02,0.84,0
491,0.58,-0.03,0.84,0
492,0.56,-0.02,0.83,0
493,0.57,-0.02,0.83,0
494,0.58,-0.03,0.83,0
495,0.57,-0.02,0.83,0
496,0.58,-0.02,0.83,0
497,0.57,-0.03,0.83,0
498,0.57,-0.02,0.83,0
499,0.57,-0.02,0.83,0
500,0.58,-0.03,0.83,0
501,0.57,-0.02,0.83,0
502,0.57,-0.02,0.83,0
503,0.57,-0.03,0.83,0
504,0.57,-0.02,0.83,0
505,0.57,-0.02,0.83,0
506,0.57,-0.03,0.83,0
507,0.58,-0.03,0.83,0
508,0.57,-0.02,0.82,0
509,0.58,-0.03,0.83,0
510,0.57,-0.02,0.83,0
511,0.57,-0.03,0.82,0
512,0.58,-0.03,0.83,0
513,0.58,-0.03,0.83,0
514,0.57,-0.02,0.83,0
515,0.58,-0.03,0.82,0
516,0.57,-0.02,0.83,0
517,0.58,-0.03,0.84,0
518,0.58,-0.03,0.83,0
519,0.57,-0.02,0.83,0
520,0.58,-0.03,0.83,0
521,0.58,-0.03,0.83,0
522,0.57,-0.03,0.82,0
523,0.58,-0.04,0.83,0
524,0.57,-0.03,0.83,0
525,0.57,-0.02,0.83,0
526,0.57,-0.03,0.83,0
527,0.57,-0.02,0.83,0
528,0.57,-0.03,0.83,0
529,0.57,-0.03,0.83,0
530,0.57,-0.03,0.83,0
531,0.57,-0.04,0.84,0
532,0.56,-0.03,0.84,0
533,0.57,-0.03,0.83,0
534,0.57,-0.03,0.83,0
535,0.56,-0.03,0.82,0
536,0.57,-0.03,0.83,0
537,0.57,-0.03,0.84,0
538,0.56,-0.03,0.83,0
539,0.56,-0.04,0.84,0
540,0.56,-0.03,0.84,0
541,0.56,-0.03,0.83,0
542,0.56,-0.04,0.83,0
543,0.57,-0.03,0.83,0
544,0.57,-0.03,0.84,0
545,0.56,-0.03,0.83,0
546,0.56,-0.04,0.83,0
547,0.56,-0.03,0.83,0
548,0.57,-0.03,0.84,0
549,0.57,-0.03,0.84,0
550,0.55,-0.04,0.84,0
551,0.56,-0.03,0.83,0
552,0.58,-0.03,0.84,0
553,0.57,-0.02,0.84,0
554,0.56,-0.04,0.83,0
555,0.57,-0.04,0.83,0
556,0.56,-0.03,0.83,0
557,0.57,-0.03,0.84,0
558,0.57,-0.03,0.84,0
559,0.57,-0.03,0.84,0
560,0.56,-0.03,0.84,0
561,0.57,-0.03,0.83,0
562,0.57,-0.03,0.83,0
563,0.57,-0.03,0.83,0
564,0.57,-0.03,0.83,0
565,0.56,-0.03,0.83,0
566,0.56,-0.03,0.83,0
567,0.57,-0.03,0.83,0
568,0.57,-0.03,0.83,0
569,0.56,-0.03,0.84,0
570,0.56,-0.04,0.83,0
571,0.55,-0.03,0.83,0
572,0.57,-0.04,0.84,0
573,0.54,-0.03,0.83,0
574,0.57,-0.04,0.83,0
575,0.53,-0.02,0.83,0
576,0.55,-0.03,0.85,0
577,0.54,-0.04,0.83,0
578,0.57,-0.02,0.85,0
579,0.53,-0.03,0.84,0
580,0.59,-0.03,0.87,0
581,0.51,-0.07,0.84,0
582,0.51,-0.01,0.82,0
583,0.54,-0.05,0.85,0
584,0.53,-0.02,0.85,0
585,0.52,-0.03,0.88,0
586,0.52,-0.04,0.88,0
587,0.51,-0.02,0.88,0
588,0.58,-0.04,0.86,0
589,0.55,-0.04,0.83,0
590,0.53,-0.03,0.82,0
591,0.57,-0.04,0.82,0
592,0.54,-0.02,0.82,0
593,0.58,-0.02,0.82,0
594,0.58,-0.02,0.82,0
595,0.54,-0.04,0.81,0
596,0.58,-0.04,0.83,0
597,0.58,-0.04,0.85,0
598,0.58,-0.03,0.84,0
599,0.57,-0.02,0.83,0
600,0.58,-0.03,0.83,2
601,0.57,-0.03,0.83,2
602,0.57,-0.04,0.82,2
603,0.57,-0.04,0.82,2
604,0.57,-0.03,0.82,2
605,0.57,-0.03,0.83,2
606,0.55,-0.03,0.83,2
607,0.57,-0.03,0.83,2
608,0.57,-0.03,0.83,2
609,0.57,-0.03,0.83,2
610,0.56,-0.03,0.83,2
611,0.57,-0.03,0.84,2
612,0.57,-0.03,0.84,2
613,0.57,-0.03,0.83,2
614,0.57,-0.04,0.82,2
615,0.57,-0.03,0.82,2
616,0.57,-0.03,0.82,2
617,0.57,-0.03,0.81,2
618,0.58,-0.02,0.8,2
619,0.57,0.01,0.84,2
620,0.58,0.05,0.82,2
621,0.5,0.12,0.77,2
622,0.46,0.23,0.85,2
623,0.48,0.26,0.94,2
