sequence,accelx,accely,accelz,event
0,0.52,-0.05,0.85,0
1,0.52,-0.05,0.86,0
2,0.52,-0.05,0.86,0
3,0.53,-0.04,0.87,0
4,0.53,-0.05,0.87,0
5,0.53,-0.05,0.86,0
6,0.52,-0.05,0.85,0
7,0.53,-0.04,0.86,0
8,0.53,-0.04,0.85,0
9,0.53,-0.04,0.85,0
10,0.52,-0.04,0.85,0
11,0.52,-0.04,0.85,0
12,0.52,-0.04,0.86,0
13,0.53,-0.04,0.86,0
14,0.53,-0.04,0.87,0
15,0.52,-0.05,0.85,0
16,0.52,-0.05,0.85,0
17,0.52,-0.04,0.85,0
18,0.53,-0.04,0.86,0
19,0.53,-0.04,0.86,0
20,0.53,-0.04,0.86,0
21,0.52,-0.04,0.86,0
22,0.53,-0.04,0.86,0
23,0.53,-0.04,0.87,0
24,0.53,-0.04,0.87,0
25,0.52,-0.04,0.87,0
26,0.53,-0.03,0.86,0
27,0.51,-0.02,0.84,0
28,0.52,-0.02,0.84,0
29,0.51,-0.02,0.84,0
30,0.52,-0.03,0.85,0
31,0.51,-0.04,0.85,0
32,0.51,-0.04,0.86,0
33,0.51,-0.04,0.86,0
34,0.51,-0.03,0.87,0
35,0.52,-0.03,0.87,0
36,0.52,-0.03,0.86,0
37,0.52,-0.03,0.87,0
38,0.52,-0.03,0.86,0
39,0.52,-0.03,0.86,0
40,0.52,-0.04,0.86,0
41,0.53,-0.03,0.86,0
42,0.52,-0.04,0.85,0
43,0.52,-0.03,0.86,0
44,0.52,-0.03,0.86,0
45,0.52,-0.03,0.86,0
46,0.52,-0.04,0.86,0
47,0.52,-0.04,0.86,0
48,0.52,-0.04,0.86,0
49,0.52,-0.03,0.86,0
50,0.52,-0.03,0.86,0
51,0.52,-0.03,0.85,0
52,0.52,-0.03,0.86,0
53,0.51,-0.03,0.86,0
54,0.51,-0.03,0.86,0
55,0.51,-0.03,0.86,0
56,0.51,-0.03,0.87,0
57,0.51,-0.04,0.86,0
58,0.51,-0.04,0.86,0
59,0.5,-0.05,0.86,0
60,0.51,-0.04,0.87,0
61,0.51,-0.04,0.86,0
62,0.49,-0.04,0.86,0
63,0.47,-0.03,0.87,0
64,0.49,-0.03,0.87,0
65,0.49,-0.05,0.87,0
66,0.5,-0.03,0.88,0
67,0.47,-0.05,0.88,0
68,0.46,-0.04,0.87,0
69,0.49,-0.04,0.89,0
70,0.46,-0.03,0.88,0
71,0.5,-0.04,0.88,0
72,0.46,-0.02,0.88,0
73,0.47,-0.02,0.88,0
74,0.46,-0.04,0.89,0
75,0.46,-0.03,0.87,0
76,0.46,-0.05,0.9,0
77,0.46,-0.03,0.89,0
