sequence,accelx,accely,accelz,event
0,0.17,-0.01,0.98,0
1,0.17,-0.01,0.98,0
2,0.17,-0.01,0.98,0
3,0.18,-0.01,0.98,0
4,0.17,-0.01,0.98,0
5,0.17,-0.01,0.98,0
6,0.17,-0.01,0.98,0
7,0.17,-0.01,0.98,0
8,0.17,-0.01,0.98,0
9,0.17,-0.01,0.98,0
10,0.17,-0.01,0.98,0
11,0.17,-0.01,0.98,0
12,0.17,-0.01,0.98,0
13,0.17,-0.01,0.98,0
14,0.17,-0.01,0.98,0
15,0.16,-0.01,0.98,0
16,0.17,-0.01,0.98,0
17,0.17,-0.01,0.98,0
18,0.17,-0.01,0.99,0
19,0.17,-0.01,0.98,0
20,0.17,-0.01,0.98,0
21,0.17,0.0,0.97,0
22,0.17,0.0,0.98,0
23,0.16,-0.01,0.98,0
24,0.16,-0.01,0.98,0
25,0.17,-0.01,0.99,0
26,0.18,0.0,0.98,0
27,0.17,0.0,0.98,0
28,0.18,-0.01,0.98,0
29,0.17,0.0,0.98,0
30,0.17,0.0,0.98,0
31,0.16,-0.01,0.98,0
32,0.17,0.0,0.98,0
33,0.16,0.0,0.98,0
34,0.14,-0.01,0.99,0
35,0.11,-0.01,0.99,0
36,0.11,-0.01,0.99,0
37,0.09,-0.01,0.98,0
38,0.09,-0.01,0.98,0
39,0.1,0.0,0.98,0
40,0.07,0.0,0.98,0
41,0.08,0.0,0.99,0
42,0.08,-0.02,1.0,0
43,0.04,0.0,0.98,0
44,0.08,-0.01,1.01,0
45,0.02,0.0,0.99,0
46,0.03,-0.01,0.98,0
47,0.06,0.0,0.99,0
48,0.04,0.0,1.01,0
49,0.05,0.0,1.02,0
50,0.02,-0.01,0.99,0
51,-0.01,0.01,1.0,0
52,0.08,-0.02,1.0,0
53,0.09,-0.02,0.97,0
54,0.1,0.01,0.98,0
55,0.11,0.0,0.98,0
56,0.12,0.01,0.98,0
57,0.12,0.01,0.98,0
58,0.13,0.0,0.98,0
59,0.11,0.0,0.98,0
60,0.14,0.0,0.98,0
61,0.13,0.0,0.99,0
62,0.11,0.0,0.99,0
63,0.14,0.0,0.98,0
64,0.12,0.0,0.99,0
65,0.14,0.0,0.98,0
66,0.13,0.0,0.99,0
67,0.12,0.0,0.98,0
68,0.14,0.0,0.99,0
69,0.14,0.0,0.99,0
70,0.12,0.0,0.98,0
71,0.13,0.0,0.98,0
72,0.13,0.0,0.98,0
73,0.14,0.0,0.99,0
74,0.13,0.0,0.99,0
75,0.14,0.0,0.98,1
76,0.13,0.0,0.98,1
77,0.14,0.0,0.98,1
78,0.14,0.0,0.98,1
79,0.14,0.0,0.98,1
80,0.12,0.0,0.98,1
81,0.14,0.0,0.99,1
82,0.12,0.0,0.99,1
83,0.13,0.0,0.98,1
84,0.14,0.0,0.99,1
85,0.13,0.0,0.98,1
86,0.14,0.0,0.98,1
87,0.13,0.0,0.98,1
88,0.14,0.0,0.99,1
89,0.14,0.0,0.98,1
90,0.14,0.0,0.98,1
91,0.14,0.0,0.99,1
92,0.15,0.0,1.0,1
93,0.14,0.0,1.0,1
94,0.14,0.0,0.99,1
95,0.14,0.01,1.0,1
96,0.13,-0.01,1.01,1
97,0.13,0.0,1.04,1
98,0.1,0.0,1.04,1
