sequence,accelx,accely,accelz,event
0,0.85,0.06,0.53,0
1,0.85,0.04,0.54,0
2,0.83,0.03,0.55,0
3,0.82,0.01,0.58,0
4,0.78,-0.01,0.59,0
5,0.8,-0.01,0.6,0
6,0.28,-0.12,0.94,0
7,0.21,0.01,0.98,0
8,0.21,0.01,0.99,0
9,0.19,0.03,0.99,0
10,0.2,0.01,1.0,0
11,0.17,0.0,0.99,0
12,0.2,-0.03,0.98,0
13,0.21,-0.03,0.98,0
14,0.22,-0.02,0.99,0
15,0.24,-0.02,0.98,0
16,0.28,-0.02,0.96,0
17,0.34,-0.06,0.92,0
18,0.35,-0.11,0.94,0
19,0.27,-0.11,0.95,0
20,0.2,-0.08,0.98,0
21,0.18,-0.05,1.03,0
22,0.21,-0.01,1.05,0
23,0.2,0.01,1.03,0
24,0.21,0.02,1.02,0
25,0.18,0.04,0.99,0
26,0.17,0.05,0.98,0
27,0.13,0.05,0.96,0
28,0.13,0.03,0.95,0
29,0.11,0.01,0.94,0
30,0.11,0.0,0.97,0
31,0.16,-0.01,0.98,0
32,0.14,-0.02,0.98,0
33,0.11,-0.03,0.98,0
34,0.1,-0.01,0.98,0
35,0.09,0.01,1.0,0
36,0.09,0.01,1.0,0
37,0.1,0.01,0.99,0
38,0.14,0.0,0.98,0
39,0.11,0.01,0.98,0
40,0.12,0.01,0.98,0
41,0.12,0.0,0.98,0
42,0.1,0.0,0.98,0
43,0.12,0.0,0.99,0
44,0.09,0.0,0.99,0
45,0.14,0.0,0.98,0
46,0.11,0.0,0.97,0
47,0.12,-0.01,0.98,0
48,0.11,0.02,0.98,0
49,0.12,0.01,0.98,0
50,0.15,0.03,1.0,0
51,0.08,0.03,0.98,0
52,0.09,0.02,0.99,0
53,0.06,0.02,0.98,0
54,0.07,0.03,0.98,0
55,0.07,0.04,0.99,0
56,0.09,0.0,0.99,0
57,0.04,0.07,0.99,0
58,-0.01,0.06,0.99,0
59,0.03,0.04,1.01,0
60,0.07,0.04,1.02,0
61,0.04,0.06,1.03,0
62,0.1,0.01,1.04,0
63,0.1,0.07,0.99,0
64,0.08,0.03,0.97,0
65,0.08,0.03,0.96,0
66,0.12,0.04,0.97,0
67,0.11,0.06,0.98,0
68,0.13,0.05,0.98,0
69,0.11,0.04,0.98,0
70,0.11,0.04,0.98,0
71,0.1,0.04,0.98,0
72,0.12,0.04,0.99,0
73,0.12,0.05,0.99,0
74,0.12,0.04,0.98,0
75,0.12,0.04,0.98,3
76,0.12,0.04,0.99,3
77,0.13,0.04,0.99,3
78,0.11,0.04,0.98,3
79,0.12,0.04,0.99,3
80,0.12,0.04,0.98,3
81,0.12,0.04,0.99,3
82,0.13,0.04,0.98,3
83,0.12,0.04,0.98,3
84,0.13,0.04,0.98,3
85,0.12,0.04,0.98,3
86,0.13,0.04,0.98,3
87,0.12,0.04,0.98,3
88,0.12,0.04,0.98,3
89,0.13,0.04,0.98,3
90,0.13,0.04,0.98,3
91,0.13,0.04,0.98,3
92,0.14,0.04,0.98,3
93,0.13,0.04,0.98,3
94,0.14,0.04,0.98,3
95,0.13,0.05,0.99,3
96,0.14,0.06,1.01,3
97,0.11,0.07,0.99,3
98,0.13,0.05,0.99,3
99,0.13,0.04,0.98,3
100,0.12,0.03,0.98,3
101,0.09,0.0,0.99,3
102,0.08,-0.02,1.05,3
103,0.02,-0.07,1.14,3
104,-0.06,-0.11,1.22,3
105,0.0,-0.12,1.28,3
106,0.06,-0.13,1.33,3
107,0.06,-0.15,1.36,3
108,0.01,-0.15,1.31,3
109,0.08,-0.15,1.25,3
110,0.1,-0.11,1.09,3
111,0.18,-0.06,1.01,3
112,0.12,-0.03,0.89,3
113,-0.04,0.01,0.83,3
114,-0.03,0.07,0.79,3
115,-0.01,0.1,0.84,3
116,-0.16,0.06,0.75,3
117,-0.12,-0.02,0.79,3
118,-0.15,-0.04,0.74,3
119,-0.18,-0.04,0.7,3
120,-0.13,0.0,0.7,3
121,-0.15,0.05,0.67,3
122,-0.09,0.08,0.72,3
123,-0.02,0.18,0.74,3
124,0.0,0.04,0.86,3
125,-0.05,-0.01,0.89,3
126,0.12,-0.11,0.98,3
127,0.16,-0.12,1.06,3
128,0.15,-0.23,1.09,3
129,0.4,-0.22,1.29,3
130,0.17,-0.34,1.22,3
131,0.38,-0.32,1.3,3
132,0.29,-0.5,1.18,3
133,0.34,-0.45,1.1,3
134,0.32,-0.39,1.12,3
135,0.13,-0.22,1.04,3
136,0.19,-0.13,1.02,3
137,0.18,0.0,1.09,3
138,0.11,0.05,1.18,3
139,-0.13,0.13,1.21,3
140,-0.22,0.21,1.35,3
141,-0.09,0.19,1.44,3
142,0.16,0.21,1.46,3
143,0.43,0.0,1.32,3
144,0.17,0.04,1.1,3
145,0.59,0.07,1.04,3
146,0.37,0.15,0.84,3
147,0.46,0.36,0.69,3
148,0.69,0.27,0.7,3
149,0.51,0.11,0.54,3
150,0.57,0.04,0.63,3
151,0.53,-0.02,0.59,3
152,0.49,0.04,0.52,3
153,0.63,0.1,0.63,3
154,0.56,0.2,0.76,3
155,0.3,0.27,0.67,3
156,0.45,0.12,1.02,3
157,0.13,0.27,0.85,3
158,0.11,0.16,1.07,3
159,0.06,0.23,1.12,3
160,-0.24,0.24,1.07,3
161,0.22,0.32,1.27,3
162,-0.21,0.37,1.14,3
163,0.1,0.36,1.28,3
164,0.01,0.29,1.22,3
165,0.06,0.26,1.13,3
166,0.19,0.21,1.09,3
167,0.26,0.16,1.01,3
168,0.3,0.14,0.97,3
169,0.39,0.09,0.96,3
170,0.35,0.07,0.91,3
171,0.39,0.04,0.94,3
172,0.35,0.04,0.91,3
173,0.33,0.09,0.93,3
174,0.39,0.08,0.96,3
175,0.34,0.08,0.93,3
176,0.39,0.07,0.95,3
177,0.36,0.07,0.93,3
178,0.36,0.07,0.94,3
179,0.36,0.07,0.93,3
180,0.37,0.05,0.92,3
181,0.32,0.05,0.93,3
182,0.39,0.04,0.95,3
183,0.28,0.09,0.95,3
184,0.4,0.05,0.94,3
185,0.29,0.08,0.92,3
186,0.35,0.08,0.96,3
187,0.35,0.09,0.98,3
188,0.34,0.07,1.0,3
189,0.31,0.03,0.95,3
190,0.3,0.09,0.89,3
191,0.4,0.06,0.91,3
192,0.29,0.09,0.93,3
193,0.36,0.05,0.95,3
194,0.34,0.09,0.97,3
195,0.29,0.04,0.98,3
196,0.39,0.07,0.96,3
197,0.36,0.06,0.93,3
198,0.36,0.07,0.93,3
199,0.38,0.06,0.93,3
200,0.37,0.06,0.92,0
201,0.36,0.07,0.9,0
202,0.37,0.06,0.94,0
203,0.36,0.06,0.94,0
204,0.36,0.07,0.94,0
205,0.36,0.06,0.95,0
206,0.37,0.06,0.94,0
207,0.38,0.06,0.95,0
208,0.37,0.06,0.94,0
209,0.36,0.06,0.94,0
210,0.36,0.05,0.93,0
211,0.36,0.05,0.93,0
212,0.36,0.05,0.92,0
213,0.37,0.06,0.93,0
214,0.36,0.06,0.94,0
215,0.37,0.06,0.92,0
216,0.36,0.06,0.91,0
217,0.36,0.07,0.95,0
218,0.35,0.07,0.95,0
219,0.36,0.06,0.96,0
220,0.37,0.04,0.96,0
221,0.35,0.05,0.94,0
222,0.35,0.06,0.94,0
223,0.36,0.06,0.93,0
224,0.36,0.07,0.93,0
225,0.36,0.07,0.95,0
226,0.36,0.06,0.95,0
227,0.36,0.06,0.95,0
228,0.36,0.06,0.94,0
229,0.36,0.07,0.95,0
230,0.35,0.07,0.95,0
231,0.36,0.06,0.94,0
232,0.36,0.06,0.93,0
233,0.35,0.06,0.94,0
234,0.36,0.07,0.95,0
235,0.35,0.07,0.94,0
236,0.35,0.06,0.95,0
