sequence,accelx,accely,accelz,event
0,0.12,-0.02,0.98,0
1,0.13,-0.02,0.99,0
2,0.13,-0.02,0.99,0
3,0.12,-0.02,0.98,0
4,0.11,-0.01,0.98,0
5,0.12,-0.02,0.98,0
6,0.12,-0.02,0.98,0
7,0.13,-0.02,0.98,0
8,0.12,-0.01,0.98,0
9,0.12,-0.01,0.98,0
10,0.12,-0.02,0.98,0
11,0.12,-0.02,0.98,0
12,0.12,-0.02,0.98,0
13,0.14,-0.02,0.97,0
14,0.16,-0.03,0.98,0
15,0.15,-0.02,1.0,0
16,0.12,-0.01,1.0,0
17,0.09,0.0,0.99,0
18,0.09,0.0,0.99,0
19,0.1,0.0,0.98,0
20,0.13,-0.01,0.98,0
21,0.13,-0.01,0.98,0
22,0.12,-0.02,0.98,0
23,0.13,-0.03,0.98,0
24,0.14,-0.03,0.98,0
25,0.14,-0.03,0.98,0
26,0.14,-0.02,0.98,0
27,0.12,-0.02,0.98,0
28,0.12,-0.02,0.98,0
29,0.13,-0.03,0.98,0
30,0.13,-0.04,0.98,0
31,0.15,-0.04,0.99,0
32,0.16,-0.04,0.99,0
33,0.15,-0.03,0.99,0
34,0.14,-0.03,0.99,0
35,0.15,-0.04,0.99,0
36,0.14,-0.03,0.98,0
37,0.14,-0.03,0.98,0
38,0.13,-0.03,0.98,0
39,0.12,-0.03,0.98,0
40,0.13,-0.03,0.98,0
41,0.13,-0.03,0.98,0
42,0.14,-0.03,0.98,0
43,0.13,-0.03,0.98,0
44,0.14,-0.04,0.98,0
45,0.14,-0.03,0.99,0
46,0.14,-0.03,0.98,0
47,0.14,-0.03,0.99,0
48,0.13,-0.03,0.98,0
49,0.14,-0.03,0.98,0
50,0.13,-0.03,0.98,0
51,0.13,-0.03,0.98,0
52,0.15,-0.03,0.99,0
53,0.14,-0.04,0.98,0
54,0.14,-0.03,0.98,0
55,0.14,-0.03,0.98,0
56,0.14,-0.04,0.98,0
57,0.13,-0.04,0.98,0
58,0.15,-0.04,0.99,0
59,0.14,-0.04,0.99,0
60,0.17,-0.03,0.99,0
61,0.11,-0.04,0.98,0
62,0.15,-0.03,0.98,0
63,0.1,-0.05,0.97,0
64,0.16,-0.03,0.99,0
65,0.1,-0.06,0.98,0
66,0.1,-0.03,0.97,0
67,0.15,-0.06,0.97,0
68,0.15,-0.04,0.98,0
69,0.08,-0.04,0.95,0
70,0.16,-0.05,0.99,0
71,0.15,-0.08,1.0,0
72,0.16,-0.07,1.01,0
73,0.14,-0.05,1.01,0
74,0.15,-0.05,1.03,0
75,0.14,-0.08,1.01,0
76,0.13,-0.03,1.0,0
77,0.17,-0.04,1.0,0
78,0.15,-0.04,0.96,0
79,0.18,-0.04,0.96,0
80,0.14,-0.03,0.95,0
81,0.16,-0.03,0.97,0
82,0.16,-0.02,0.97,0
83,0.17,-0.01,0.98,0
84,0.18,-0.01,0.99,0
85,0.19,-0.01,0.99,0
86,0.18,0.0,0.98,0
87,0.18,-0.01,0.98,0
88,0.18,-0.01,0.98,0
89,0.18,-0.01,0.97,0
90,0.18,-0.01,0.97,0
91,0.18,-0.01,0.97,0
92,0.19,-0.02,0.98,0
93,0.19,-0.02,0.98,0
94,0.19,-0.02,0.98,0
95,0.19,-0.02,0.98,0
96,0.2,-0.02,0.98,0
97,0.19,-0.02,0.98,0
98,0.18,-0.02,0.98,0
99,0.18,-0.02,0.98,0
100,0.19,-0.02,0.98,1
101,0.2,-0.02,0.98,1
102,0.18,-0.02,0.98,1
103,0.18,-0.02,0.98,1
104,0.19,-0.02,0.98,1
105,0.19,-0.01,0.98,1
106,0.18,-0.02,0.98,1
107,0.19,-0.02,0.98,1
108,0.19,-0.02,0.98,1
109,0.19,-0.02,0.98,1
110,0.19,-0.02,0.98,1
111,0.19,-0.01,0.98,1
112,0.19,-0.01,0.98,1
113,0.18,-0.02,0.98,1
114,0.19,-0.02,0.98,1
115,0.19,-0.02,0.98,1
116,0.2,-0.02,0.97,1
117,0.19,-0.01,0.98,1
118,0.19,-0.02,0.98,1
119,0.19,-0.02,0.98,1
120,0.2,-0.02,0.98,1
121,0.2,-0.02,0.98,1
122,0.18,-0.02,0.98,1
123,0.18,-0.02,0.98,1
124,0.2,-0.01,0.97,1
125,0.19,-0.01,0.98,1
126,0.19,-0.02,0.98,1
127,0.19,-0.02,0.98,1
128,0.2,-0.01,0.98,1
129,0.19,-0.02,0.98,1
130,0.18,-0.01,0.97,1
131,0.18,-0.02,0.97,1
132,0.16,-0.02,0.97,1
133,0.17,-0.04,0.96,1
134,0.14,-0.07,0.97,1
135,0.12,-0.09,0.94,1
136,0.09,-0.14,0.91,1
137,0.13,-0.2,0.95,1
138,0.1,-0.24,0.96,1
139,0.15,-0.25,1.0,1
140,0.15,-0.26,1.05,1
141,0.16,-0.25,1.1,1
142,0.19,-0.26,1.18,1
143,0.22,-0.25,1.22,1
144,0.28,-0.24,1.3,1
145,0.35,-0.16,1.39,1
146,0.28,-0.11,1.49,1
147,0.22,-0.08,1.61,1
148,0.16,-0.05,1.6,1
149,0.07,0.02,1.52,1
150,0.05,0.08,1.41,1
151,-0.18,0.13,1.16,1
152,-0.26,0.22,0.97,1
153,-0.39,0.24,0.8,1
154,-0.18,0.31,0.69,1
155,-0.22,0.31,0.51,1
156,0.02,0.39,0.38,1
157,0.0,0.41,0.26,1
158,0.24,0.39,0.18,1
159,0.25,0.47,0.11,1
160,0.4,0.43,0.12,1
161,0.46,0.43,0.18,1
162,0.48,0.46,0.25,1
163,0.59,0.36,0.28,1
164,0.57,0.36,0.36,1
165,0.65,0.19,0.46,1
166,0.72,0.17,0.48,1
167,0.6,0.01,0.52,1
168,0.8,0.02,0.61,1
169,0.58,-0.07,0.72,1
170,0.71,-0.12,0.81,1
171,0.5,-0.15,0.94,1
172,0.52,-0.15,0.95,1
173,0.35,-0.16,1.08,1
174,0.37,-0.16,1.17,1
175,0.32,-0.12,1.32,1
176,0.22,-0.15,1.32,1
177,0.27,-0.13,1.38,1
178,0.18,-0.08,1.35,1
179,0.14,0.07,1.29,1
180,0.03,0.04,1.21,1
181,-0.02,0.1,1.19,1
182,-0.19,0.16,1.01,1
183,-0.09,0.22,0.95,1
184,-0.07,0.17,0.88,1
185,0.06,0.1,0.94,1
186,0.08,0.04,0.97,1
187,0.08,0.0,0.99,1
188,0.07,0.01,1.01,1
189,0.07,0.0,1.02,1
190,0.1,0.0,1.03,1
191,0.09,0.0,1.03,1
192,0.09,0.01,1.02,1
193,0.08,0.03,1.0,1
194,0.06,0.04,0.97,1
195,0.04,0.05,0.98,1
196,0.05,0.05,0.98,1
197,0.05,0.05,0.99,1
198,0.06,0.04,1.01,1
199,0.05,0.05,1.0,1
200,0.05,0.04,1.01,1
201,0.05,0.04,1.01,1
202,0.06,0.05,0.99,1
203,0.06,0.05,1.0,1
204,0.05,0.05,0.99,1
205,0.06,0.04,0.99,1
206,0.03,0.04,1.0,1
207,0.07,0.03,0.98,1
208,0.07,0.03,0.99,1
209,0.08,0.03,0.98,1
210,0.08,0.03,0.99,1
211,0.08,0.03,0.98,1
212,0.09,0.03,0.98,1
213,0.08,0.03,0.98,1
214,0.08,0.03,0.98,1
215,0.09,0.02,0.99,1
216,0.09,0.01,1.0,1
217,0.11,0.0,1.0,1
218,0.1,0.01,0.99,1
219,0.09,0.01,0.98,1
220,0.08,0.01,0.97,1
221,0.13,0.01,0.98,1
222,0.08,0.0,0.99,1
223,0.1,0.0,1.0,1
224,0.06,-0.02,0.98,1
225,0.1,-0.01,1.0,1
226,0.06,0.0,0.98,1
227,0.06,-0.01,0.99,1
228,0.08,-0.02,1.0,1
229,0.06,-0.01,1.06,1
230,0.18,-0.08,1.1,1
231,0.06,0.01,1.0,1
232,0.13,-0.02,0.94,1
233,0.01,0.01,0.87,1
234,0.14,-0.02,0.97,1
235,0.0,-0.01,0.97,1
236,0.04,-0.03,1.02,1
237,0.12,-0.04,1.07,1
238,0.19,-0.06,1.12,1
239,0.13,0.0,1.08,1
240,0.03,0.02,0.99,1
241,0.04,-0.05,0.96,1
242,0.07,0.01,0.93,1
243,0.1,0.01,0.95,1
244,0.11,0.0,0.96,1
245,0.13,0.0,0.99,1
246,0.13,0.0,1.01,1
247,0.13,0.0,1.0,1
248,0.12,0.01,0.99,1
249,0.1,0.0,0.99,1
250,0.1,0.0,0.99,0
251,0.11,0.0,0.98,0
252,0.12,0.0,0.98,0
253,0.13,0.0,0.98,0
254,0.12,0.0,0.98,0
255,0.11,0.0,0.98,0
256,0.1,0.0,0.98,0
257,0.1,0.0,0.99,0
258,0.11,0.0,1.0,0
259,0.13,0.0,1.0,0
260,0.13,0.0,0.99,0
261,0.11,0.0,0.98,0
262,0.11,0.0,0.99,0
263,0.12,0.0,0.99,0
264,0.11,0.0,0.99,0
265,0.11,0.0,0.99,0
266,0.11,0.0,0.99,0
267,0.13,0.0,0.98,0
268,0.12,0.0,0.98,0
269,0.11,0.0,0.98,0
270,0.12,0.0,0.98,0
271,0.12,0.0,0.99,0
272,0.12,0.0,0.99,0
273,0.12,0.0,0.99,0
274,0.11,0.0,0.98,0
275,0.12,0.0,0.98,0
276,0.11,0.0,0.98,0
277,0.11,0.0,0.98,0
278,0.09,0.0,0.97,0
279,0.1,0.0,0.97,0
280,0.09,0.0,0.97,0
281,0.09,-0.01,0.97,0
282,0.09,-0.01,0.97,0
283,0.08,0.0,0.98,0
284,0.09,-0.01,0.99,0
285,0.04,-0.02,0.97,0
286,-0.01,-0.02,0.97,0
287,-0.06,-0.03,0.91,0
288,-0.05,-0.03,0.93,0
289,0.01,-0.05,0.98,0
290,0.03,-0.11,1.07,0
291,0.07,-0.13,1.1,0
292,0.04,-0.15,1.11,0
293,0.0,-0.17,1.06,0
294,0.0,-0.16,1.04,0
295,-0.01,-0.14,1.0,0
