sequence,accelx,accely,accelz,event
0,0.02,-0.04,0.99,0
1,0.02,-0.04,0.99,0
2,0.02,-0.04,0.99,0
3,0.02,-0.04,0.99,0
4,0.02,-0.03,0.99,0
5,0.02,-0.04,0.99,0
6,0.03,-0.04,0.99,0
7,0.02,-0.04,0.99,0
8,0.02,-0.04,0.99,0
9,0.02,-0.04,0.99,0
10,0.02,-0.03,0.99,0
11,0.02,-0.04,0.98,0
12,0.02,-0.04,0.99,0
13,0.02,-0.03,0.99,0
14,0.02,-0.04,0.99,0
15,0.03,-0.04,0.99,0
16,0.03,-0.03,0.99,0
17,0.02,-0.04,0.99,0
18,0.02,-0.03,0.99,0
19,0.02,-0.03,0.99,0
20,0.02,-0.04,0.99,0
21,0.02,-0.04,0.99,0
22,0.02,-0.04,0.99,0
23,0.02,-0.04,0.99,0
24,0.02,-0.03,0.99,0
25,0.02,-0.04,0.99,0
26,0.02,-0.04,0.99,0
27,0.02,-0.04,0.99,0
28,0.02,-0.04,0.99,0
29,0.02,-0.04,0.99,0
30,0.02,-0.03,0.99,0
31,0.02,-0.04,0.99,0
32,0.02,-0.03,0.99,0
33,0.02,-0.04,0.99,0
34,0.02,-0.03,0.99,0
35,0.02,-0.03,0.99,0
36,0.02,-0.04,0.99,0
37,0.02,-0.04,0.99,0
38,0.02,-0.03,0.99,0
39,0.02,-0.04,0.99,0
40,0.02,-0.03,0.99,0
41,0.02,-0.03,0.99,0
42,0.02,-0.03,0.99,0
43,0.02,-0.03,0.99,0
44,0.01,-0.04,0.99,0
45,0.02,-0.03,0.99,0
46,0.02,-0.04,0.99,0
47,0.02,-0.03,0.99,0
48,0.02,-0.04,0.99,0
49,0.02,-0.03,0.99,0
50,0.02,-0.03,0.99,0
51,0.01,-0.03,0.99,0
52,0.02,-0.03,0.99,0
53,0.02,-0.03,0.99,0
54,0.02,-0.04,0.99,0
55,0.02,-0.04,0.99,0
56,0.02,-0.04,0.99,0
57,0.02,-0.04,0.99,0
58,0.02,-0.04,0.98,0
59,0.02,-0.04,0.98,0
60,0.02,-0.03,0.99,0
61,0.02,-0.03,0.99,0
62,0.02,-0.03,0.99,0
63,0.02,-0.03,1.0,0
64,0.02,-0.04,1.0,0
65,0.02,-0.04,0.99,0
66,0.02,-0.03,0.99,0
67,0.02,-0.04,1.0,0
68,0.02,-0.03,0.99,0
69,0.02,-0.03,0.99,0
70,0.02,-0.04,0.99,0
71,0.02,-0.03,0.99,0
72,0.02,-0.03,0.99,0
73,0.02,-0.04,0.99,0
74,0.02,-0.03,0.99,0
75,0.03,-0.02,0.99,0
76,0.02,-0.03,0.99,0
77,0.02,-0.02,1.0,0
78,0.03,-0.02,0.99,0
79,0.03,-0.02,0.98,0
80,0.03,-0.02,0.98,0
81,0.03,-0.03,0.98,0
82,0.03,-0.02,0.99,0
83,0.03,-0.03,0.98,0
84,0.02,-0.03,0.98,0
85,0.03,-0.03,0.98,0
86,0.03,-0.03,0.99,0
87,0.03,-0.03,0.99,0
88,0.03,-0.04,0.99,0
89,0.04,-0.03,0.99,0
90,0.03,-0.02,0.99,0
91,0.03,-0.02,0.99,0
92,0.02,-0.01,0.99,0
93,0.01,-0.01,0.99,0
94,0.02,-0.01,0.99,0
95,0.03,-0.02,1.0,0
96,0.03,-0.01,0.99,0
97,0.03,-0.02,0.98,0
98,0.03,-0.02,0.98,0
99,0.03,-0.03,0.98,0
100,0.03,-0.02,0.98,0
101,0.03,-0.01,0.98,0
102,0.02,-0.01,0.99,0
103,0.01,-0.01,0.99,0
104,0.02,-0.03,1.0,0
105,0.03,-0.04,1.0,0
106,0.05,-0.04,0.99,0
107,0.04,-0.04,1.0,0
108,0.03,-0.05,1.0,0
109,0.04,-0.05,0.99,0
110,0.05,-0.04,0.98,0
111,0.04,-0.04,0.99,0
112,0.04,-0.04,0.99,0
113,0.03,-0.04,0.99,0
114,0.03,-0.04,0.99,0
115,0.03,-0.04,0.98,0
116,0.03,-0.04,0.99,0
117,0.03,-0.04,0.99,0
118,0.03,-0.05,1.0,0
119,0.03,-0.04,0.99,0
120,0.03,-0.04,0.99,0
121,0.03,-0.04,0.99,0
122,0.02,-0.03,0.99,0
123,0.01,-0.02,0.99,0
124,0.02,-0.03,1.0,0
125,0.03,-0.03,1.0,0
126,0.03,-0.04,0.99,0
127,0.03,-0.03,0.98,0
128,0.02,-0.03,0.98,0
129,0.01,-0.03,0.98,0
130,0.02,-0.03,0.99,0
131,0.02,-0.04,1.0,0
132,0.03,-0.04,1.01,0
133,0.03,-0.04,1.0,0
134,0.03,-0.04,0.99,0
135,0.03,-0.04,0.98,0
136,0.02,-0.03,0.98,0
137,0.02,-0.03,0.98,0
138,0.02,-0.04,0.99,0
139,0.02,-0.03,0.99,0
140,0.03,-0.04,0.99,0
141,0.03,-0.03,0.99,0
142,0.03,-0.04,1.0,0
143,0.03,-0.04,0.99,0
144,0.03,-0.04,0.99,0
145,0.02,-0.04,0.99,0
146,0.02,-0.04,0.99,0
147,0.03,-0.05,0.99,0
148,0.02,-0.05,0.99,0
