sequence,accelx,accely,accelz,event
0,-0.35,-0.14,0.93,0
1,-0.35,-0.15,0.93,0
2,-0.36,-0.15,0.92,0
3,-0.38,-0.15,0.92,0
4,0.03,-0.13,1.0,0
5,0.06,-0.11,0.99,0
6,0.04,-0.1,0.98,0
7,0.03,-0.1,0.98,0
8,0.03,-0.09,0.98,0
9,0.03,-0.09,0.99,0
10,0.04,-0.09,0.99,0
11,0.04,-0.1,1.0,0
12,0.04,-0.09,0.99,0
13,0.04,-0.1,0.99,0
14,0.04,-0.1,0.99,0
15,0.04,-0.09,0.99,0
16,0.04,-0.09,0.99,0
17,0.04,-0.09,0.98,0
18,0.04,-0.1,0.99,0
19,0.05,-0.09,0.99,0
20,0.03,-0.08,0.99,0
21,0.03,-0.09,0.99,0
22,0.03,-0.09,0.99,0
23,0.04,-0.09,0.99,0
24,0.04,-0.1,0.99,0
25,0.04,-0.09,0.99,0
26,0.05,-0.09,0.99,0
27,0.05,-0.09,0.99,0
28,0.05,-0.09,0.98,0
29,0.05,-0.08,0.98,0
30,0.05,-0.08,0.98,0
31,0.04,-0.09,0.99,0
32,0.04,-0.09,0.99,0
33,0.05,-0.09,1.0,0
34,0.05,-0.09,1.0,0
35,0.05,-0.07,1.0,0
36,0.03,-0.08,1.0,0
37,0.05,-0.08,1.0,0
38,-0.02,-0.08,0.97,0
39,0.1,-0.07,0.99,0
40,0.04,-0.08,0.97,0
41,0.04,-0.09,0.98,0
42,0.0,-0.12,0.97,0
43,0.01,-0.08,0.99,0
44,0.03,-0.12,1.02,0
45,0.04,-0.12,1.04,0
46,0.06,-0.11,1.06,0
47,0.03,-0.07,1.03,0
48,0.01,-0.06,0.97,0
49,0.05,-0.1,0.96,0
50,0.02,-0.12,0.89,0
51,0.05,-0.1,0.96,0
52,-0.05,-0.12,0.98,0
53,0.04,-0.12,1.04,0
54,0.07,-0.1,1.06,0
55,0.1,-0.08,1.06,0
56,0.05,-0.09,1.03,0
57,0.08,-0.11,1.0,0
58,0.07,-0.14,0.97,0
59,0.09,-0.11,0.97,0
60,0.08,-0.1,0.96,0
61,0.08,-0.09,0.97,0
62,0.07,-0.09,0.98,0
63,0.08,-0.09,0.99,0
64,0.09,-0.09,0.99,0
65,0.09,-0.1,1.0,0
66,0.09,-0.1,1.01,0
67,0.09,-0.1,0.99,0
68,0.09,-0.09,0.99,0
69,0.09,-0.09,0.98,0
70,0.09,-0.09,0.98,0
71,0.09,-0.09,0.98,0
72,0.09,-0.09,0.98,0
73,0.09,-0.09,0.98,0
74,0.09,-0.09,0.98,0
75,0.09,-0.09,0.99,2
76,0.09,-0.09,0.99,2
77,0.09,-0.09,0.99,2
78,0.09,-0.09,0.99,2
79,0.09,-0.09,0.98,2
80,0.09,-0.09,0.98,2
81,0.09,-0.09,0.98,2
82,0.09,-0.09,0.99,2
83,0.09,-0.09,0.99,2
84,0.09,-0.09,0.99,2
85,0.09,-0.09,0.99,2
86,0.09,-0.09,0.99,2
87,0.09,-0.09,0.99,2
88,0.09,-0.09,0.99,2
89,0.09,-0.08,0.98,2
90,0.09,-0.09,0.99,2
91,0.09,-0.09,0.98,2
92,0.09,-0.08,1.0,2
93,0.09,-0.08,1.05,2
94,0.09,-0.04,1.08,2
95,0.15,0.01,1.13,2
96,0.13,0.04,1.26,2
97,0.11,0.07,1.38,2
98,0.11,0.06,1.4,2
99,0.04,0.09,1.38,2
100,-0.08,0.11,1.26,2
101,-0.02,0.18,1.23,2
102,0.01,0.22,1.14,2
103,-0.08,0.17,1.03,2
104,0.08,0.21,0.89,2
105,0.06,0.19,0.74,2
106,0.17,0.23,0.64,2
107,0.21,0.2,0.61,2
108,0.19,0.24,0.6,2
109,0.28,0.27,0.63,2
110,0.29,0.27,0.65,2
111,0.36,0.25,0.65,2
112,0.4,0.2,0.59,2
113,0.39,0.1,0.54,2
114,0.35,0.04,0.52,2
115,0.3,-0.01,0.55,2
116,0.15,-0.04,0.59,2
117,0.1,-0.08,0.72,2
118,0.03,-0.06,0.81,2
119,-0.19,-0.14,0.98,2
120,-0.17,-0.13,1.1,2
121,-0.48,-0.24,1.24,2
122,-0.59,-0.23,1.21,2
123,-0.76,-0.2,1.13,2
124,-0.61,-0.06,1.15,2
125,-0.48,-0.12,1.18,2
126,-0.79,-0.09,1.09,2
127,-0.51,-0.1,1.15,2
128,-0.51,-0.16,1.24,2
129,-0.44,-0.26,1.37,2
130,-0.42,-0.35,1.45,2
