sequence,accelx,accely,accelz,event
0,520,-50,850,0
1,520,-50,860,0
2,520,-50,860,0
3,530,-40,870,0
4,530,-50,870,0
5,530,-50,860,0
6,520,-50,850,0
7,530,-40,860,0
8,530,-40,850,0
9,530,-40,850,0
10,520,-40,850,0
11,520,-40,850,0
12,520,-40,860,0
13,530,-40,860,0
14,530,-40,870,0
15,520,-50,850,0
16,520,-50,850,0
17,520,-40,850,0
18,530,-40,860,0
19,530,-40,860,0
20,530,-40,860,0
21,520,-40,860,0
22,530,-40,860,0
23,530,-40,870,0
24,530,-40,870,0
25,520,-40,870,0
26,530,-30,860,0
27,510,-20,840,0
28,520,-20,840,0
29,510,-20,840,0
30,520,-30,850,0
31,510,-40,850,0
32,510,-40,860,0
33,510,-40,860,0
34,510,-30,870,0
35,520,-30,870,0
36,520,-30,860,0
37,520,-30,870,0
38,520,-30,860,0
39,520,-30,860,0
40,520,-40,860,0
41,530,-30,860,0
42,520,-40,850,0
43,520,-30,860,0
44,520,-30,860,0
45,520,-30,860,0
46,520,-40,860,0
47,520,-40,860,0
48,520,-40,860,0
49,520,-30,860,0
50,520,-30,860,0
51,520,-30,850,0
52,520,-30,860,0
53,510,-30,860,0
54,510,-30,860,0
55,510,-30,860,0
56,510,-30,870,0
57,510,-40,860,0
58,510,-40,860,0
59,500,-50,860,0
60,510,-40,870,0
61,510,-40,860,0
62,490,-40,860,0
63,470,-30,870,0
64,490,-30,870,0
65,490,-50,870,0
66,500,-30,880,0
67,470,-50,880,0
68,460,-40,870,0
69,490,-40,890,0
70,460,-30,880,0
71,500,-40,880,0
72,460,-20,880,0
73,470,-20,880,0
74,460,-40,890,0
75,460,-30,870,0
76,460,-50,900,0
77,460,-30,890,0
78,460,-30,900,0
79,460,-20,900,0
80,460,-40,920,0
81,460,-60,920,0
82,510,-20,860,0
83,490,-30,830,0
84,480,-40,860,0
85,500,-40,850,0
86,520,-40,860,0
87,510,-40,860,0
88,520,-30,870,0
89,520,-30,860,0
90,520,-30,860,0
91,520,-40,870,0
92,510,-30,860,0
93,520,-30,860,0
94,530,-30,860,0
95,530,-30,850,0
96,520,-30,850,0
97,520,-30,850,0
98,520,-30,860,0
99,520,-40,860,0
100,530,-40,850,2000
101,520,-30,860,2000
102,530,-30,860,2000
103,520,-40,860,2000
104,520,-40,850,2000
105,530,-40,860,2000
106,520,-40,850,2000
107,520,-30,850,2000
108,520,-40,850,2000
109,520,-40,850,2000
110,530,-40,860,2000
111,530,-40,860,2000
112,520,-40,850,2000
113,530,-40,860,2000
114,530,-40,850,2000
115,530,-30,850,2000
116,520,-40,850,2000
117,540,-30,860,2000
118,530,-40,870,2000
119,550,-50,870,2000
120,550,-50,960,2000
121,550,-90,930,2000
122,550,-60,970,2000
123,510,-110,1070,2000
124,560,-170,1180,2000
