sequence,accelx,accely,accelz,event
0,170,-10,980,0
1,170,-10,980,0
2,170,-10,980,0
3,180,-10,980,0
4,170,-10,980,0
5,170,-10,980,0
6,170,-10,980,0
7,170,-10,980,0
8,170,-10,980,0
9,170,-10,980,0
10,170,-10,980,0
11,170,-10,980,0
12,170,-10,980,0
13,170,-10,980,0
14,170,-10,980,0
15,160,-10,980,0
16,170,-10,980,0
17,170,-10,980,0
18,170,-10,990,0
19,170,-10,980,0
20,170,-10,980,0
21,170,0,970,0
22,170,0,980,0
23,160,-10,980,0
24,160,-10,980,0
25,170,-10,990,0
26,180,0,980,0
27,170,0,980,0
28,180,-10,980,0
29,170,0,980,0
30,170,0,980,0
31,160,-10,980,0
32,170,0,980,0
33,160,0,980,0
34,140,-10,990,0
35,110,-10,990,0
36,110,-10,990,0
37,90,-10,980,0
38,90,-10,980,0
39,100,0,980,0
40,70,0,980,0
41,80,0,990,0
42,80,-20,1000,0
43,40,0,980,0
44,80,-10,1010,0
45,20,0,990,0
46,30,-10,980,0
47,60,0,990,0
48,40,0,1010,0
49,50,0,1020,0
50,20,-10,990,0
51,-10,10,1000,0
52,80,-20,1000,0
53,90,-20,970,0
54,100,10,980,0
55,110,0,980,0
56,120,10,980,0
57,120,10,980,0
58,130,0,980,0
59,110,0,980,0
60,140,0,980,0
61,130,0,990,0
62,110,0,990,0
63,140,0,980,0
64,120,0,990,0
65,140,0,980,0
66,130,0,990,0
67,120,0,980,0
68,140,0,990,0
69,140,0,990,0
70,120,0,980,0
71,130,0,980,0
72,130,0,980,0
73,140,0,990,0
74,130,0,990,0
75,140,0,980,2000
76,130,0,980,2000
77,140,0,980,2000
78,140,0,980,2000
79,140,0,980,2000
80,120,0,980,2000
81,140,0,990,2000
82,120,0,990,2000
83,130,0,980,2000
84,140,0,990,2000
85,130,0,980,2000
86,140,0,980,2000
87,130,0,980,2000
88,140,0,990,2000
89,140,0,980,2000
90,140,0,980,2000
91,140,0,990,2000
92,150,0,1000,2000
93,140,0,1000,2000
94,140,0,990,2000
95,140,10,1000,2000
96,130,-10,1010,2000
97,130,0,1040,2000
98,100,0,1040,2000
99,90,-10,1060,2000
100,0,-30,1110,2000
101,-160,-110,1280,2000
102,310,-230,1530,2000
103,210,-330,1550,2000
104,320,-280,1480,2000
105,350,-320,1250,2000
106,280,-320,1050,2000
107,450,-290,850,2000
108,410,-230,620,2000
109,200,-150,450,2000
110,110,-110,460,2000
111,-10,70,460,2000
112,-140,280,350,2000
113,-140,400,180,2000
114,140,480,230,2000
115,240,380,250,2000
116,910,320,690,2000
117,910,170,820,2000
118,1670,170,1240,2000
119,1610,-70,1180,2000
120,1660,-150,1520,2000
121,1030,-110,1860,2000
122,1060,10,2120,2000
123,910,180,1870,2000
124,1060,270,1600,2000
125,1010,250,1230,2000
126,840,120,880,2000
127,650,-60,500,2000
128,350,-220,260,2000
129,10,-320,40,2000
130,-60,-380,-130,2000
131,-30,-390,-230,2000
132,-110,-390,-380,2000
133,140,-390,-420,2000
134,310,-250,-390,2000
135,610,-180,-210,2000
136,710,-50,210,2000
137,920,190,970,2000
138,760,440,1640,2000
139,990,340,1830,2000
140,870,400,1770,2000
141,670,310,1600,2000
142,610,250,1390,2000
143,480,130,1120,2000
144,600,40,900,2000
145,470,0,640,2000
146,670,-30,730,2000
147,670,-80,770,2000
148,660,-80,820,2000
149,570,-40,800,2000
150,610,-20,800,2000
151,600,-10,840,2000
152,610,0,860,2000
153,600,-10,800,2000
154,610,-30,770,2000
155,600,-10,750,2000
156,610,-30,790,2000
157,580,-30,800,2000
158,580,-10,790,2000
159,590,-10,850,2000
160,580,-20,830,2000
161,560,-10,800,2000
162,560,-20,810,2000
163,510,0,830,2000
164,510,-10,860,2000
165,560,-10,870,2000
166,600,-50,880,2000
167,610,-10,850,2000
168,550,0,810,2000
169,580,10,800,2000
170,520,-10,770,2000
171,510,-30,800,2000
172,530,-40,820,2000
173,490,-10,900,2000
174,540,-10,930,2000
175,560,0,880,0
176,530,20,810,0
177,550,0,780,0
178,590,0,790,0
179,580,0,820,0
180,570,-10,820,0
181,580,-10,810,0
182,580,-10,820,0
183,590,-10,830,0
184,580,-20,830,0
185,590,-20,830,0
186,580,-20,830,0
187,590,-20,820,0
188,590,-20,810,0
189,580,-10,810,0
190,590,-10,800,0
191,580,-10,810,0
192,580,-20,810,0
193,580,-20,810,0
194,580,-10,800,0
195,580,-10,820,0
196,580,-20,820,0
197,580,-10,810,0
198,580,-20,810,0
199,580,-10,800,0
200,590,-10,820,0
201,580,-10,810,0
202,580,-10,810,0
203,580,-20,810,0
204,580,-10,810,0
205,580,-10,810,0
206,580,-10,820,0
207,580,-10,810,0
208,580,-10,820,0
209,580,-20,820,0
210,590,-10,820,0
211,580,-10,810,0
212,580,-10,810,0
213,580,-10,820,0
214,580,-10,810,0
215,580,-10,810,0
216,580,-10,820,0
217,580,-10,840,0
218,580,-10,820,0
219,580,-10,800,0
220,590,-10,820,0
221,580,-10,810,0
222,580,-10,810,0
223,590,-10,820,0
224,580,-10,830,0
225,590,-10,820,0
226,580,-10,810,0
227,580,-10,810,0
228,580,-10,810,0
229,580,-10,810,0
230,580,-20,810,0
231,580,-10,810,0
232,590,-10,810,0
233,590,-10,820,0
234,580,-10,820,0
235,590,-10,820,0
236,590,-10,810,0
237,590,-10,810,0
238,580,-10,800,0
239,580,-10,800,0
240,590,-10,810,0
241,590,-10,810,0
242,580,-10,810,0
243,590,-10,810,0
244,580,-10,820,0
245,580,-10,810,0
246,590,-10,800,0
247,590,-10,800,0
248,580,-10,810,0
249,590,-20,810,0
250,590,-10,810,0
251,580,-20,810,0
252,580,-10,800,0
253,590,-10,810,0
254,580,-10,820,0
255,580,-20,800,0
256,580,-10,810,0
257,590,-20,820,0
258,580,-10,810,0
259,580,-10,800,0
260,590,-10,810,0
261,590,-10,810,0
262,580,-10,810,0
263,580,-10,810,0
264,590,-10,810,0
265,580,-10,810,0
266,580,-10,800,0
267,590,-10,810,0
268,580,-20,810,0
269,580,-10,810,0
270,590,-20,810,0
271,580,-10,810,0
272,580,-10,810,0
273,580,-20,800,0
274,580,-10,810,0
275,590,-10,820,0
276,590,-10,820,0
277,580,-10,810,0
278,580,-10,810,0
279,580,-10,810,0
280,590,-10,820,0
281,580,-20,820,0
282,580,-20,810,0
283,580,-20,810,0
284,580,-20,810,0
285,590,-20,810,0
286,580,-20,820,0
287,580,-20,810,0
288,590,-20,820,0
289,580,-20,810,0
290,580,-20,810,0
291,580,-20,820,0
292,580,-20,810,0
293,580,-20,810,0
294,580,-20,810,0
295,580,-20,820,0
296,570,-20,820,0
297,580,-20,820,0
298,580,-20,820,0
299,570,-20,810,0
300,580,-20,820,0
301,580,-20,820,0
302,590,-20,820,0
303,580,-20,830,0
304,570,-20,830,0
305,580,-20,820,0
306,580,-10,820,0
307,580,-10,830,0
308,570,-10,840,0
309,560,-20,820,0
310,560,-20,850,0
311,560,-20,830,0
312,560,-20,840,0
313,580,-10,810,0
314,530,0,840,0
315,580,-60,850,0
316,520,0,850,0
317,540,0,860,0
318,530,0,850,0
319,560,-10,830,0
320,590,-10,800,0
321,580,-10,810,0
322,590,-20,800,0
323,590,-10,800,0
324,590,-10,810,0
325,590,-10,800,0
326,580,-10,800,0
327,590,-20,800,0
328,590,-20,800,0
329,590,-10,800,0
330,590,-10,800,0
331,590,-20,800,0
332,590,-20,800,0
