sequence,accelx,accely,accelz,event
0,250,0,970,0
1,260,-10,970,0
2,250,-10,970,0
3,260,-10,970,0
4,270,-10,970,0
5,260,-10,970,0
6,260,-10,960,0
7,260,0,970,0
8,260,0,970,0
9,260,-10,970,0
10,260,-10,970,0
11,260,-10,980,0
12,260,-10,970,0
13,260,-10,970,0
14,260,-10,970,0
15,270,-10,970,0
16,270,-10,960,0
17,270,-10,960,0
18,260,0,960,0
19,270,0,970,0
20,260,0,970,0
21,260,-10,970,0
22,270,-10,970,0
23,270,-10,980,0
24,270,-10,970,0
25,260,0,970,0
26,260,-10,960,0
27,270,-10,960,0
28,270,0,970,0
29,270,0,970,0
30,270,0,970,0
31,260,0,970,0
32,260,0,970,0
33,260,0,970,0
34,260,-10,970,0
35,270,0,970,0
36,260,-10,970,0
37,260,0,970,0
38,260,0,970,0
39,250,0,970,0
40,250,0,970,0
41,260,0,970,0
42,260,0,970,0
43,250,0,970,0
44,260,-10,980,0
45,260,0,980,0
46,240,0,970,0
47,240,-10,960,0
48,250,-10,960,0
49,250,0,970,0
50,240,-10,960,0
51,240,-10,960,0
52,250,0,970,0
53,250,-10,970,0
54,230,-10,970,0
55,250,-10,970,0
56,240,0,980,0
57,240,0,980,0
58,240,0,980,0
59,240,0,980,0
60,250,0,980,0
61,230,0,970,0
62,230,0,940,0
63,230,0,950,0
64,240,0,970,0
65,240,0,980,0
66,240,0,970,0
67,240,0,970,0
68,230,0,970,0
69,230,0,980,0
70,240,10,980,0
71,240,0,970,0
72,230,0,970,0
73,260,0,970,0
74,230,0,970,0
75,250,0,970,0
76,260,0,970,0
77,260,0,970,0
78,260,0,970,0
79,250,10,970,0
80,250,10,970,0
81,250,0,970,0
82,250,10,970,0
83,260,10,970,0
84,270,0,970,0
85,240,10,970,0
86,270,10,980,0
87,210,0,960,0
88,240,20,960,0
89,260,10,970,0
90,230,10,970,0
91,240,10,990,0
92,200,10,970,0
93,190,10,990,0
94,190,20,980,0
95,250,10,960,0
96,220,20,970,0
97,200,10,1000,0
98,200,20,1010,0
99,200,20,1030,0
100,220,10,1000,0
101,290,10,970,0
102,250,20,950,0
103,280,20,940,0
104,220,0,940,0
105,280,10,950,0
106,260,20,960,0
107,270,20,970,0
108,260,20,970,0
109,270,10,980,0
110,260,10,970,0
111,260,10,970,0
112,270,0,970,0
113,270,10,970,0
114,270,10,960,0
115,270,10,960,0
116,270,10,970,0
117,270,10,970,0
118,260,10,970,0
119,270,10,970,0
120,260,10,970,0
121,270,10,970,0
122,270,10,970,0
123,270,10,970,0
124,270,0,970,0
125,270,10,970,3
126,270,20,960,3
127,270,20,970,3
128,250,30,970,3
129,260,20,970,3
130,260,10,970,3
131,260,20,970,3
132,260,20,970,3
133,270,10,970,3
134,250,20,970,3
135,260,20,970,3
136,270,10,970,3
137,260,10,970,3
138,260,20,970,3
139,260,20,970,3
140,260,10,970,3
141,270,10,970,3
142,260,20,970,3
143,260,20,970,3
144,260,20,970,3
145,280,10,980,3
146,250,30,970,3
147,250,30,960,3
148,260,40,960,3
149,240,40,960,3
150,230,40,970,3
151,180,40,1050,3
152,110,30,1200,3
153,0,60,1460,3
154,-30,130,1620,3
155,220,110,1790,3
156,80,220,1720,3
157,360,160,1690,3
158,430,100,1580,3
159,260,30,1250,3
160,290,20,970,3
161,360,-80,750,3
162,140,-90,430,3
163,40,-240,280,3
164,-20,-280,190,3
165,-260,-340,-20,3
166,-250,-440,-70,3
167,-360,-400,-140,3
168,-290,-420,-50,3
169,-280,-330,40,3
170,-300,-290,110,3
171,-250,-280,280,3
172,-100,-260,420,3
173,90,-270,810,3
174,90,-180,990,3
175,270,-140,1460,3
176,100,0,1530,3
177,280,70,1570,3
178,320,90,1560,3
179,160,100,1460,3
180,240,100,1370,3
181,260,100,1290,3
182,260,90,1200,3
183,340,50,1090,3
184,320,30,1010,3
185,420,30,960,3
186,420,60,940,3
187,450,50,880,3
188,460,40,880,3
189,440,40,920,3
190,460,40,930,3
191,450,60,910,3
192,450,90,910,3
193,510,30,910,3
194,460,40,890,3
195,470,50,920,3
196,430,50,880,3
197,470,50,900,3
198,440,90,910,3
199,440,40,890,3
200,450,70,880,3
201,420,80,950,3
202,430,80,960,3
203,420,110,960,3
204,460,0,930,3
205,450,0,850,3
206,410,120,860,3
207,440,-20,860,3
208,360,50,870,3
209,460,70,970,3
210,380,110,990,3
211,430,0,960,3
212,500,60,910,3
213,450,50,850,3
214,440,50,870,3
215,460,40,880,3
216,460,40,870,3
217,460,70,880,3
218,460,30,900,3
219,460,40,880,3
220,460,50,890,3
221,480,60,890,3
222,460,80,870,3
223,460,70,870,3
224,480,50,890,3
225,460,60,880,0
226,460,60,890,0
227,460,50,880,0
228,460,50,880,0
229,460,60,890,0
230,460,60,900,0
231,460,60,900,0
232,460,60,880,0
233,460,50,880,0
234,460,60,870,0
235,460,60,890,0
236,460,50,900,0
237,460,50,890,0
238,460,50,880,0
239,460,50,890,0
240,460,50,890,0
241,460,50,890,0
242,460,40,890,0
243,460,50,880,0
244,460,50,890,0
245,460,50,890,0
246,460,60,890,0
247,460,60,910,0
248,460,70,890,0
249,470,60,910,0
250,460,50,900,0
251,460,40,890,0
252,460,40,880,0
253,420,70,870,0
254,460,70,900,0
255,470,50,880,0
256,460,50,880,0
257,460,60,890,0
258,460,70,900,0
259,460,50,890,0
260,460,50,880,0
261,460,60,900,0
262,460,60,890,0
263,460,50,890,0
264,460,50,880,0
265,460,60,890,0
266,460,60,890,0
267,460,60,880,0
268,460,60,880,0
269,460,70,880,0
270,460,60,890,0
271,460,50,900,0
272,460,50,900,0
273,460,50,880,0
274,460,50,890,0
275,460,50,890,0
276,460,60,880,0
277,460,60,890,0
278,460,50,890,0
279,460,50,890,0
280,460,50,890,0
281,460,50,900,0
282,460,50,900,0
283,460,50,890,0
284,460,50,890,0
285,460,50,890,0
286,460,60,900,0
287,460,60,900,0
288,460,50,890,0
289,460,50,900,0
290,460,50,890,0
291,460,50,890,0
292,460,50,890,0
293,460,50,890,0
294,460,50,890,0
295,460,50,890,0
296,460,50,890,0
297,460,50,900,0
298,460,60,900,0
299,460,50,890,0
300,460,50,890,0
301,460,50,890,0
302,460,50,890,0
303,460,50,900,0
304,460,50,890,0
305,460,40,900,0
306,460,40,900,0
307,460,40,890,0
308,460,50,890,0
309,460,50,890,0
310,460,50,890,0
311,460,40,890,0
312,460,50,890,0
313,460,50,900,0
314,460,50,890,0
315,460,40,890,0
316,460,40,900,0
317,460,50,890,0
318,460,50,890,0
319,460,50,890,0
320,460,50,890,0
321,460,50,890,0
322,460,40,890,0
323,460,50,890,0
324,460,50,890,0
325,460,50,890,0
326,460,50,890,0
327,460,50,890,0
328,460,50,900,0
329,460,40,900,0
330,460,50,900,0
331,460,50,890,0
332,460,50,890,0
333,460,50,900,0
334,460,50,890,0
335,460,50,890,0
336,460,50,890,0
337,460,50,890,0
338,460,50,900,0
339,460,50,900,0
340,460,50,900,0
341,460,50,890,0
342,460,50,890,0
343,460,50,890,0
344,460,50,890,0
345,460,50,890,0
346,450,40,890,0
347,450,50,880,0
348,470,40,910,0
349,420,70,890,0
350,470,30,890,0
351,430,70,900,0
352,450,40,910,0
353,450,40,900,0
354,400,70,920,0
355,430,50,930,0
356,420,40,900,0
357,420,50,940,0
358,420,70,970,0
359,450,50,950,0
360,470,30,880,0
361,440,70,850,0
362,450,50,880,0
363,440,50,880,0
364,460,50,880,0
365,460,50,890,0
366,460,50,900,0
367,460,70,880,0
368,480,40,910,0
369,460,50,890,0
370,460,50,890,0
371,460,50,880,0
372,460,40,880,0
373,460,40,880,0
374,460,50,880,0
375,460,50,880,3
376,460,50,880,3
377,460,50,890,3
378,460,50,900,3
379,460,50,900,3
380,460,50,890,3
381,460,50,880,3
382,460,50,880,3
383,460,40,880,3
384,460,50,880,3
385,460,50,880,3
386,460,40,880,3
387,460,50,890,3
388,460,40,900,3
389,460,50,900,3
390,460,50,890,3
391,460,50,890,3
392,460,50,880,3
393,460,50,880,3
394,470,40,890,3
395,480,40,920,3
396,460,40,960,3
397,360,50,890,3
398,350,60,870,3
399,430,20,950,3
400,450,-20,1060,3
401,350,-10,1340,3
402,230,50,1630,3
403,250,140,1880,3
404,180,270,1860,3
405,360,320,1720,3
406,360,360,1460,3
407,230,370,1180,3
408,110,450,960,3
409,70,390,660,3
410,-100,370,410,3
411,-160,280,170,3
412,-80,60,100,3
413,-320,-110,-50,3
414,-200,-330,-160,3
415,10,-540,-270,3
416,240,-620,-390,3
417,440,-930,-370,3
418,470,-1050,-280,3
419,660,-1080,100,3
420,680,-1150,410,3
421,860,-940,880,3
422,750,-640,1160,3
423,660,-450,1320,3
424,400,-150,1560,3
425,100,0,1700,3
426,20,110,1790,3
427,-70,160,1520,3
428,110,120,1180,3
429,280,50,890,3
430,320,-30,650,3
431,380,-130,460,3
432,580,-240,270,3
433,800,-410,180,3
434,910,-520,140,3
435,1010,-590,310,3
436,1070,-570,480,3
437,1080,-480,770,3
438,1060,-390,840,3
439,960,-230,960,3
440,920,-130,940,3
441,810,130,960,3
442,730,230,890,3
443,780,290,780,3
444,720,350,650,3
445,700,240,570,3
446,760,210,580,3
447,730,190,540,3
448,780,100,620,3
449,750,80,610,3
450,790,0,660,3
451,800,-10,620,3
452,770,-20,590,3
453,800,0,600,3
454,840,-20,610,3
455,840,-10,630,3
456,800,0,610,3
457,800,10,600,3
458,800,0,610,3
459,820,0,580,3
460,810,0,590,3
461,780,10,600,3
462,750,0,630,3
463,810,10,620,3
464,720,0,550,3
465,800,20,580,3
466,730,20,620,3
467,770,60,740,3
468,770,-30,710,3
469,770,0,710,3
470,770,40,740,3
471,730,0,700,3
472,830,-60,550,3
473,660,100,610,3
474,780,-50,600,3
475,710,40,650,3
476,780,10,700,3
477,740,40,740,3
478,750,-10,680,3
479,780,20,600,3
480,740,30,600,3
481,740,10,650,3
482,790,30,630,3
483,760,30,590,3
484,830,20,640,3
485,750,0,640,3
486,780,0,630,3
487,760,0,620,3
488,780,0,620,3
489,780,0,620,3
490,760,0,620,3
491,760,0,620,3
492,770,0,620,3
493,770,0,630,3
494,770,0,630,3
495,770,0,620,3
496,770,0,610,3
497,770,0,620,3
498,770,0,630,3
499,770,0,620,3
500,780,0,610,0
501,770,0,610,0
502,770,0,620,0
503,780,0,620,0
504,770,0,620,0
505,770,0,620,0
506,780,0,630,0
507,770,10,630,0
508,770,0,630,0
509,770,0,630,0
510,770,0,630,0
511,760,0,620,0
512,760,0,630,0
513,770,0,620,0
514,770,0,630,0
515,770,0,640,0
516,770,0,650,0
517,770,0,640,0
518,760,0,630,0
519,770,0,620,0
520,760,10,630,0
521,770,10,630,0
522,760,0,620,0
523,770,0,640,0
524,760,10,640,0
525,760,10,650,0
526,770,0,640,0
527,750,10,640,0
528,760,0,640,0
529,760,0,640,0
530,760,0,630,0
531,770,0,630,0
532,770,10,630,0
533,770,0,640,0
534,770,10,650,0
535,750,10,640,0
536,760,10,630,0
537,770,10,640,0
538,770,10,630,0
539,770,0,640,0
540,770,0,640,0
541,770,0,630,0
542,770,-10,640,0
543,770,0,640,0
544,770,0,640,0
545,760,0,630,0
546,770,0,640,0
547,750,0,630,0
548,770,0,640,0
549,760,10,640,0
550,770,0,640,0
551,760,0,640,0
552,760,0,640,0
553,750,0,650,0
554,750,10,660,0
555,770,0,640,0
556,760,0,620,0
557,760,0,620,0
558,760,0,620,0
559,760,10,630,0
560,770,10,640,0
561,770,10,650,0
562,770,0,660,0
563,770,0,650,0
564,760,0,630,0
565,760,10,620,0
566,770,0,610,0
567,760,0,620,0
568,770,0,640,0
569,770,0,650,0
570,770,0,640,0
571,770,-10,630,0
572,770,0,630,0
573,770,0,630,0
574,760,0,630,0
575,760,0,620,0
576,770,0,630,0
577,770,0,630,0
578,760,0,630,0
579,770,0,630,0
580,770,0,640,0
581,770,0,640,0
582,770,0,630,0
583,770,0,630,0
584,760,0,630,0
585,770,0,630,0
586,770,0,620,0
587,770,0,640,0
588,760,0,640,0
589,770,0,630,0
590,770,0,620,0
591,770,0,620,0
592,770,0,630,0
593,770,0,630,0
594,770,0,630,0
595,770,0,630,0
596,770,0,620,0
597,770,0,630,0
598,770,10,630,0
599,770,10,630,0
600,770,0,630,0
601,770,0,620,0
602,770,0,630,0
603,770,0,630,0
604,770,0,620,0
605,770,0,620,0
606,770,0,630,0
607,770,0,630,0
608,770,0,630,0
609,770,0,620,0
610,770,0,620,0
611,770,0,620,0
612,770,0,620,0
613,770,0,620,0
614,770,0,630,0
615,770,0,630,0
616,760,0,620,0
617,770,0,630,0
618,770,0,620,0
619,770,0,630,0
620,770,10,630,0
621,770,0,630,0
622,770,0,620,0
623,770,0,620,0
624,770,0,620,0
625,770,0,610,0
626,770,0,620,0
627,770,0,630,0
628,770,0,630,0
629,780,0,630,0
630,770,0,620,0
631,770,0,620,0
632,770,0,620,0
633,770,0,610,0
634,770,0,610,0
635,770,0,620,0
636,770,0,630,0
637,770,0,630,0
638,770,0,630,0
639,770,0,620,0
640,770,0,620,0
641,770,0,610,0
642,770,0,610,0
643,770,0,620,0
644,770,0,620,0
645,770,0,630,0
646,770,0,630,0
647,780,0,630,0
648,770,0,630,0
649,770,0,610,0
650,770,0,610,0
651,770,0,610,0
652,770,0,620,0
653,770,0,610,0
654,770,0,620,0
655,770,-10,630,0
656,770,-10,620,0
657,770,0,620,0
658,770,0,640,0
659,770,-10,610,0
660,740,0,640,0
661,760,0,650,0
662,760,-10,660,0
663,750,0,660,0
664,770,0,660,0
665,740,0,660,0
666,740,-10,630,0
667,720,10,660,0
668,780,-10,670,0
669,740,-10,680,0
670,740,0,700,0
671,720,50,700,0
672,770,0,680,0
673,750,0,640,0
674,770,0,620,0
675,760,10,620,0
676,750,-10,620,0
677,760,0,620,0
678,770,0,630,0
679,760,0,630,0
680,770,0,640,0
681,770,0,640,0
682,770,0,630,0
683,770,0,630,0
684,770,0,640,0
685,760,0,630,0
686,770,0,630,0
687,770,0,630,0
688,770,0,640,0
689,770,0,640,0
690,760,0,630,0
691,770,0,630,0
692,770,0,630,0
693,760,0,640,0
694,770,0,630,0
695,760,0,630,0
696,760,-10,630,0
697,770,0,630,0
698,760,0,630,0
699,760,0,640,0
700,770,-10,630,3
701,770,0,640,3
702,770,0,630,3
703,770,-10,640,3
704,770,-10,630,3
705,770,-10,640,3
706,760,-10,630,3
707,760,-10,630,3
708,770,-10,630,3
709,770,0,630,3
710,770,0,630,3
711,760,0,630,3
712,760,0,630,3
713,770,-10,630,3
714,770,0,650,3
715,770,-10,630,3
716,770,0,620,3
717,770,0,630,3
718,770,-10,630,3
719,780,10,650,3
720,750,60,740,3
721,520,160,830,3
722,790,180,1080,3
723,790,130,1360,3
724,1100,70,1460,3
725,1470,-120,1230,3
726,1310,-370,870,3
727,1410,-500,380,3
728,1070,-650,40,3
729,730,-870,-310,3
730,570,-980,-600,3
731,450,-920,-930,3
732,460,-610,-1010,3
733,430,-300,-780,3
734,290,0,-480,3
735,230,190,-160,3
736,200,370,140,3
737,110,470,520,3
738,120,370,820,3
739,210,480,1030,3
740,350,360,980,3
741,560,340,1220,3
742,650,150,1220,3
743,720,140,1310,3
744,730,-50,1330,3
745,790,-10,1250,3
746,890,-160,1070,3
747,840,-260,910,3
748,750,-240,730,3
749,850,-160,680,3
750,940,-210,580,3
751,930,-180,590,3
752,940,-120,550,3
753,950,-110,600,3
754,870,-50,580,3
755,910,-20,580,3
756,860,-40,590,3
757,850,-30,560,3
758,860,-30,510,3
759,900,10,490,3
760,890,10,500,3
761,890,20,480,3
762,880,0,480,3
763,880,20,480,3
764,870,30,470,3
765,860,40,480,3
766,880,0,470,3
767,850,30,470,3
768,890,10,480,3
769,890,30,490,3
770,850,10,470,3
771,860,40,520,3
772,830,-20,470,3
773,940,10,510,3
774,900,0,570,3
775,920,40,520,3
776,860,60,520,3
777,840,0,480,3
778,850,20,450,3
779,780,100,470,3
780,840,0,500,3
781,850,20,500,3
782,880,30,480,3
783,860,60,550,3
