sequence,accelx,accely,accelz,event
0,200,-20,980,2000
1,200,-20,980,2000
2,200,-20,980,2000
3,200,-20,970,2000
4,200,-20,970,2000
5,200,-20,970,2000
6,200,-20,980,2000
7,200,-20,980,2000
8,210,-20,980,2000
9,210,-20,980,2000
10,200,-20,980,2000
11,200,-20,970,2000
12,200,-20,970,2000
13,200,-20,980,2000
14,210,-20,980,2000
15,210,-20,980,2000
16,200,-20,980,2000
17,200,-20,980,2000
18,200,-20,970,2000
19,200,-20,970,2000
20,190,-20,970,2000
21,190,-20,970,2000
22,200,-20,980,2000
23,210,-20,1010,2000
24,210,-30,1020,2000
25,210,-20,1010,2000
26,210,-10,990,2000
27,210,-20,980,2000
28,190,-10,970,2000
29,180,-10,970,2000
30,170,-10,940,2000
31,140,-10,920,2000
32,100,-10,940,2000
33,130,-40,970,2000
34,160,-50,1000,2000
35,180,-80,1010,2000
36,130,-120,950,2000
37,80,-160,880,2000
38,60,-220,840,2000
39,100,-250,880,2000
40,80,-300,980,2000
41,170,-340,1110,2000
42,170,-350,1210,2000
43,110,-320,1230,2000
44,50,-310,1270,2000
45,-10,-270,1280,2000
46,20,-250,1410,2000
47,120,-210,1480,2000
48,-120,-160,1480,2000
49,-180,-130,1460,2000
50,-400,-110,1310,2000
51,-290,-30,1320,2000
52,-440,150,1180,2000
53,-390,230,1130,2000
54,-260,250,1100,2000
55,-300,280,1000,2000
56,-130,360,880,2000
57,-270,420,600,2000
58,-150,370,500,2000
59,-160,430,350,2000
60,-70,370,210,2000
61,70,430,60,2000
62,70,430,50,2000
63,240,370,0,2000
64,190,380,50,2000
65,420,110,160,2000
66,650,140,230,2000
67,640,40,310,2000
68,660,-10,510,2000
69,740,-210,600,2000
70,770,-170,720,2000
71,750,-270,760,2000
72,730,-300,960,2000
73,590,-320,1030,2000
74,470,-360,1210,2000
75,460,-280,1220,2000
76,330,-270,1180,2000
77,300,-270,1100,2000
78,280,-250,1220,2000
79,330,-290,1340,2000
80,250,-240,1390,2000
81,50,-130,1260,2000
82,20,40,1160,2000
83,-140,40,1170,2000
84,-20,-20,1110,2000
85,70,-100,1080,2000
86,140,-140,1020,2000
87,110,-180,960,2000
88,170,-210,970,2000
89,190,-210,960,2000
90,210,-210,960,2000
91,170,-180,960,2000
92,200,-180,960,2000
93,160,-150,960,2000
94,160,-140,970,2000
95,120,-130,970,2000
96,120,-130,980,2000
97,110,-130,980,2000
98,150,-130,980,2000
99,150,-120,980,2000
100,150,-120,990,2000
101,150,-130,1000,2000
102,130,-140,990,2000
103,130,-140,990,2000
104,160,-130,980,2000
105,150,-130,980,2000
106,140,-130,980,2000
107,150,-130,980,2000
108,140,-130,980,2000
109,160,-130,970,2000
110,180,-150,990,2000
111,150,-120,980,2000
112,150,-130,970,2000
113,170,-130,980,2000
114,140,-130,990,2000
115,180,-140,990,2000
116,130,-130,970,2000
117,140,-140,970,2000
118,150,-130,980,2000
119,170,-130,990,2000
120,120,-130,990,2000
121,190,-150,1000,2000
122,80,-130,940,2000
123,160,-140,930,2000
124,170,-170,970,2000
125,160,-160,1030,2000
126,250,-220,1130,2000
127,170,-170,1040,2000
128,110,-130,940,2000
129,180,-170,930,2000
130,140,-130,920,2000
131,180,-150,940,2000
132,110,-140,930,2000
133,210,-180,960,2000
134,210,-180,1020,2000
135,270,-140,1100,2000
136,170,-160,1010,2000
137,180,-150,970,2000
138,200,-140,960,2000
139,210,-140,970,2000
140,210,-140,980,2000
141,190,-160,980,2000
142,200,-140,970,2000
143,210,-130,960,2000
144,200,-140,970,2000
145,210,-150,970,2000
146,210,-160,970,2000
147,200,-160,970,2000
148,200,-160,970,2000
149,210,-180,970,2000
150,210,-160,970,0
151,210,-170,970,0
152,210,-170,970,0
153,210,-170,970,0
154,210,-170,970,0
155,200,-160,970,0
156,210,-170,970,0
157,210,-180,970,0
158,210,-170,970,0
159,210,-160,970,0
160,210,-160,970,0
161,200,-170,970,0
162,210,-160,970,0
163,210,-170,970,0
164,210,-160,970,0
165,210,-160,970,0
166,210,-150,970,0
167,200,-160,970,0
168,210,-150,970,0
169,210,-150,970,0
170,210,-160,980,0
171,210,-150,970,0
172,210,-160,970,0
173,210,-150,970,0
174,210,-150,970,0
175,210,-160,970,0
176,210,-160,980,0
177,210,-170,970,0
178,210,-160,970,0
179,210,-170,970,0
180,200,-170,970,0
181,210,-170,970,0
182,190,-170,960,0
183,210,-180,960,0
184,210,-180,970,0
185,210,-190,980,0
186,210,-180,970,0
187,210,-140,970,0
188,210,-150,970,0
189,200,-160,970,0
190,200,-160,970,0
191,210,-130,960,0
192,180,-140,970,0
193,180,-140,970,0
194,180,-140,980,0
195,190,-170,990,0
196,200,-170,980,0
197,200,-190,980,0
198,200,-180,970,0
199,180,-160,970,0
200,180,-180,970,0
201,180,-190,980,0
202,190,-190,970,0
203,210,-200,970,0
204,210,-200,980,0
205,190,-190,970,0
206,190,-180,970,0
207,200,-180,970,0
208,200,-180,960,0
209,190,-160,970,0
210,190,-170,970,0
211,190,-170,970,0
212,190,-170,970,0
213,200,-190,980,0
214,200,-190,970,0
215,200,-190,970,0
216,190,-180,980,0
217,200,-190,970,0
218,200,-160,970,0
219,190,-150,960,0
220,180,-140,960,0
221,180,-160,970,0
222,170,-170,960,0
223,180,-190,940,0
224,200,-200,920,0
225,190,-190,890,0
226,140,-210,880,0
227,110,-210,880,0
228,90,-220,890,0
229,80,-200,920,0
230,70,-180,950,0
231,20,-140,990,0
232,0,-130,1070,0
233,-10,-130,1080,0
234,-40,-120,1110,0
235,-60,-130,1100,0
236,-80,-140,1070,0
237,-110,-190,1040,0
238,-140,-220,1000,0
239,-140,-240,970,0
240,-140,-250,970,0
241,-130,-230,970,0
242,-170,-240,970,0
243,-170,-250,970,0
244,-180,-220,960,0
245,-190,-210,990,0
246,-160,-160,1000,0
247,-170,-130,1060,0
248,-190,-130,1080,0
249,-210,-160,1020,0
250,-230,-200,970,0
251,-240,-200,950,0
252,-240,-220,930,0
253,-220,-210,940,0
254,-220,-190,950,0
255,-210,-170,970,0
256,-210,-180,960,0
257,-210,-160,980,0
258,-200,-150,1000,0
259,-180,-160,1000,0
260,-170,-160,980,0
261,-190,-140,970,0
262,-200,-120,980,0
263,-190,-120,970,0
264,-200,-120,960,0
265,-200,-80,960,0
