sequence,accelx,accely,accelz,event
0,20,-40,990,0
1,20,-40,990,0
2,20,-40,990,0
3,20,-40,990,0
4,20,-30,990,0
5,20,-40,990,0
6,30,-40,990,0
7,20,-40,990,0
8,20,-40,990,0
9,20,-40,990,0
10,20,-30,990,0
11,20,-40,980,0
12,20,-40,990,0
13,20,-30,990,0
14,20,-40,990,0
15,30,-40,990,0
16,30,-30,990,0
17,20,-40,990,0
18,20,-30,990,0
19,20,-30,990,0
20,20,-40,990,0
21,20,-40,990,0
22,20,-40,990,0
23,20,-40,990,0
24,20,-30,990,0
25,20,-40,990,0
26,20,-40,990,0
27,20,-40,990,0
28,20,-40,990,0
29,20,-40,990,0
30,20,-30,990,0
31,20,-40,990,0
32,20,-30,990,0
33,20,-40,990,0
34,20,-30,990,0
35,20,-30,990,0
36,20,-40,990,0
37,20,-40,990,0
38,20,-30,990,0
39,20,-40,990,0
40,20,-30,990,0
41,20,-30,990,0
42,20,-30,990,0
43,20,-30,990,0
44,10,-40,990,0
45,20,-30,990,0
46,20,-40,990,0
47,20,-30,990,0
48,20,-40,990,0
49,20,-30,990,0
50,20,-30,990,0
51,10,-30,990,0
52,20,-30,990,0
53,20,-30,990,0
54,20,-40,990,0
55,20,-40,990,0
56,20,-40,990,0
57,20,-40,990,0
58,20,-40,980,0
59,20,-40,980,0
60,20,-30,990,0
61,20,-30,990,0
62,20,-30,990,0
63,20,-30,1000,0
64,20,-40,1000,0
65,20,-40,990,0
66,20,-30,990,0
67,20,-40,1000,0
68,20,-30,990,0
69,20,-30,990,0
70,20,-40,990,0
71,20,-30,990,0
72,20,-30,990,0
73,20,-40,990,0
74,20,-30,990,0
75,30,-20,990,0
76,20,-30,990,0
77,20,-20,1000,0
78,30,-20,990,0
79,30,-20,980,0
80,30,-20,980,0
81,30,-30,980,0
82,30,-20,990,0
83,30,-30,980,0
84,20,-30,980,0
85,30,-30,980,0
86,30,-30,990,0
87,30,-30,990,0
88,30,-40,990,0
89,40,-30,990,0
90,30,-20,990,0
91,30,-20,990,0
92,20,-10,990,0
93,10,-10,990,0
94,20,-10,990,0
95,30,-20,1000,0
96,30,-10,990,0
97,30,-20,980,0
98,30,-20,980,0
99,30,-30,980,0
100,30,-20,980,0
101,30,-10,980,0
102,20,-10,990,0
103,10,-10,990,0
104,20,-30,1000,0
105,30,-40,1000,0
106,50,-40,990,0
107,40,-40,1000,0
108,30,-50,1000,0
109,40,-50,990,0
110,50,-40,980,0
111,40,-40,990,0
112,40,-40,990,0
113,30,-40,990,0
114,30,-40,990,0
115,30,-40,980,0
116,30,-40,990,0
117,30,-40,990,0
118,30,-50,1000,0
119,30,-40,990,0
120,30,-40,990,0
121,30,-40,990,0
122,20,-30,990,0
123,10,-20,990,0
124,20,-30,1000,0
125,30,-30,1000,0
126,30,-40,990,0
127,30,-30,980,0
128,20,-30,980,0
129,10,-30,980,0
130,20,-30,990,0
131,20,-40,1000,0
132,30,-40,1010,0
133,30,-40,1000,0
134,30,-40,990,0
135,30,-40,980,0
136,20,-30,980,0
137,20,-30,980,0
138,20,-40,990,0
139,20,-30,990,0
140,30,-40,990,0
141,30,-30,990,0
142,30,-40,1000,0
143,30,-40,990,0
144,30,-40,990,0
145,20,-40,990,0
146,20,-40,990,0
147,30,-50,990,0
148,20,-50,990,0
149,30,-50,990,0
150,30,-60,1000,0
151,20,-50,990,0
152,20,-50,990,0
153,20,-60,990,0
154,20,-60,980,0
155,0,-60,980,0
156,30,-60,990,0
157,10,-70,990,0
158,0,-60,1000,0
159,20,-70,1000,0
160,20,-70,990,0
161,20,-70,1010,0
162,10,-80,1000,0
163,10,-80,1000,0
164,20,-80,990,0
165,20,-70,1010,0
166,80,-100,1040,0
167,20,-60,1010,0
168,20,-60,990,0
169,10,-70,980,0
170,60,-60,980,0
171,30,-50,970,0
172,40,-60,970,0
173,40,-60,990,0
174,40,-60,990,0
175,60,-50,1000,2000
176,60,-50,1000,2000
177,50,-50,1000,2000
178,40,-50,1000,2000
179,40,-50,990,2000
180,40,-50,990,2000
181,40,-50,980,2000
182,50,-50,980,2000
183,50,-50,990,2000
184,50,-50,990,2000
185,40,-50,990,2000
186,40,-50,990,2000
187,50,-50,990,2000
188,50,-50,990,2000
189,50,-50,990,2000
190,50,-50,990,2000
191,40,-50,990,2000
192,40,-50,990,2000
193,60,-50,1000,2000
194,60,-50,990,2000
195,60,-50,990,2000
196,50,-50,990,2000
197,50,-50,980,2000
198,50,-50,990,2000
199,50,-60,990,2000
200,50,-60,990,2000
201,50,-60,980,2000
202,50,-70,980,2000
203,40,-80,980,2000
204,40,-110,970,2000
205,50,-130,960,2000
206,60,-140,970,2000
207,70,-150,980,2000
208,80,-160,1010,2000
209,70,-160,1040,2000
210,80,-140,1070,2000
211,90,-130,1110,2000
212,150,-80,1200,2000
213,170,-10,1290,2000
214,140,60,1360,2000
215,110,140,1360,2000
216,80,220,1350,2000
217,20,250,1270,2000
218,-40,290,1220,2000
219,-70,300,1150,2000
220,-40,370,1020,2000
221,-60,410,920,2000
222,-90,390,820,2000
223,-110,380,720,2000
224,-30,380,610,2000
225,30,400,510,2000
226,80,380,440,2000
227,220,400,450,2000
228,280,380,460,2000
229,370,320,470,2000
230,430,270,470,2000
231,430,270,480,2000
232,490,230,510,2000
233,550,200,590,2000
234,530,110,640,2000
235,530,110,730,2000
236,490,20,800,2000
237,490,0,920,2000
238,400,-10,990,2000
239,380,-50,1110,2000
240,400,-90,1210,2000
241,370,-110,1320,2000
242,340,-110,1330,2000
243,230,-40,1320,2000
244,190,40,1230,2000
245,90,100,1150,2000
246,-40,110,1100,2000
247,-70,150,1060,2000
248,-80,140,1030,2000
249,0,100,980,2000
250,80,50,960,2000
251,100,-10,960,2000
252,140,-70,970,2000
253,190,-100,990,2000
254,170,-100,1000,2000
255,190,-90,1000,2000
256,170,-60,990,2000
257,140,-30,990,2000
258,140,-50,990,2000
259,120,-40,980,2000
260,110,-40,980,2000
261,150,-50,980,2000
262,90,-50,980,2000
263,110,-40,980,2000
264,160,-50,1000,2000
265,90,-40,970,2000
266,150,-60,970,2000
267,30,-40,970,2000
268,160,-50,1010,2000
269,80,-90,1030,2000
270,90,-50,990,2000
271,130,-70,1000,2000
272,120,-60,1020,2000
273,120,-80,1050,2000
274,80,-40,1040,2000
275,70,-20,950,2000
276,130,-40,930,2000
277,140,-90,910,2000
278,120,-50,970,2000
279,80,-80,990,2000
280,90,-70,1040,2000
281,150,-60,1090,2000
282,160,-50,1100,2000
283,90,-40,1030,2000
284,80,-40,980,2000
285,150,-10,950,2000
286,120,-40,930,2000
287,160,-40,940,2000
288,160,-50,970,2000
289,160,-70,990,2000
290,170,-60,1000,2000
291,170,-50,1000,2000
292,160,-40,990,2000
293,160,-30,990,2000
294,150,-40,990,2000
295,160,-50,990,2000
296,160,-50,980,2000
297,170,-50,980,2000
298,170,-50,980,2000
299,170,-50,980,2000
300,170,-50,980,0
301,160,-50,980,0
302,160,-50,980,0
303,160,-40,980,0
304,160,-50,980,0
305,170,-50,980,0
306,170,-50,990,0
307,160,-50,980,0
308,160,-50,980,0
309,150,-50,980,0
310,160,-50,980,0
311,170,-50,980,0
312,170,-60,990,0
313,170,-60,980,0
